,date,nums,increment,ratio
0,2018,411,-461,-0.528669724771
1,2017,872,286,0.488054607509
2,2016,586,-416,-0.415169660679
3,2015,1002,-590,-0.370603015075
4,2014,1592,315,0.246671887236
5,2013,1277,41,0.0331715210356
6,2012,1236,308,0.331896551724
7,2011,928,30,0.0334075723831
8,2010,898,54,0.063981042654
9,2009,844,-230,-0.214152700186
10,2008,1074,-395,-0.268890401634
11,2007,1469,987,2.04771784232
12,2006,482,-452,-0.483940042827
13,2005,934,63,0.0723306544202
14,2004,871,395,0.829831932773
15,2003,476,0,0.0
