,date,nums,increment,ratio
0,2018-04,21,-4,-0.16
1,2018-03,25,8,0.470588235294
2,2018-02,17,-5,-0.227272727273
3,2018-01,22,-4,-0.153846153846
4,2017-12,26,1,0.04
5,2017-11,25,-2,-0.0740740740741
6,2017-10,27,6,0.285714285714
7,2017-09,21,-9,-0.3
8,2017-08,30,6,0.25
9,2017-07,24,-3,-0.111111111111
10,2017-06,27,-12,-0.307692307692
11,2017-05,39,13,0.5
12,2017-04,26,-7,-0.212121212121
13,2017-03,33,12,0.571428571429
14,2017-02,21,-6,-0.222222222222
15,2017-01,27,-4,-0.129032258065
16,2016-12,31,9,0.409090909091
17,2016-11,22,-15,-0.405405405405
18,2016-10,37,8,0.275862068966
19,2016-09,29,1,0.0357142857143
20,2016-08,28,4,0.166666666667
21,2016-07,24,-7,-0.225806451613
22,2016-06,31,3,0.107142857143
23,2016-05,28,7,0.333333333333
24,2016-04,21,-14,-0.4
25,2016-03,35,7,0.25
26,2016-02,28,-8,-0.222222222222
27,2016-01,36,3,0.0909090909091
28,2015-12,33,12,0.571428571429
29,2015-11,21,-1,-0.0454545454545
30,2015-10,22,4,0.222222222222
31,2015-09,18,-2,-0.1
32,2015-08,20,-1,-0.047619047619
33,2015-07,21,-11,-0.34375
34,2015-06,32,4,0.142857142857
35,2015-05,28,16,1.33333333333
36,2015-04,12,0,0.0
