,date,nums,increment,ratio
0,2018-04,13,2,0.181818181818
1,2018-03,11,1,0.1
2,2018-02,10,3,0.428571428571
3,2018-01,7,-4,-0.363636363636
4,2017-12,11,-4,-0.266666666667
5,2017-11,15,-2,-0.117647058824
6,2017-10,17,6,0.545454545455
7,2017-09,11,-8,-0.421052631579
8,2017-08,19,11,1.375
9,2017-07,8,-7,-0.466666666667
10,2017-06,15,-9,-0.375
11,2017-05,24,11,0.846153846154
12,2017-04,13,0,0.0
13,2017-03,13,-6,-0.315789473684
14,2017-02,19,5,0.357142857143
15,2017-01,14,7,1.0
16,2016-12,7,-4,-0.363636363636
17,2016-11,11,-10,-0.47619047619
18,2016-10,21,-6,-0.222222222222
19,2016-09,27,-3,-0.1
20,2016-08,30,15,1.0
21,2016-07,15,-4,-0.210526315789
22,2016-06,19,1,0.0555555555556
23,2016-05,18,-6,-0.25
24,2016-04,24,-2,-0.0769230769231
25,2016-03,26,3,0.130434782609
26,2016-02,23,1,0.0454545454545
27,2016-01,22,-7,-0.241379310345
28,2015-12,29,0,0.0
29,2015-11,29,-18,-0.382978723404
30,2015-10,47,29,1.61111111111
31,2015-09,18,-10,-0.357142857143
32,2015-08,28,-1,-0.0344827586207
33,2015-07,29,9,0.45
34,2015-06,20,-2,-0.0909090909091
35,2015-05,22,15,2.14285714286
36,2015-04,7,0,0.0
