,date,nums,increment,ratio
0,2018-04,58,-7,-0.107692307692
1,2018-03,65,22,0.511627906977
2,2018-02,43,-17,-0.283333333333
3,2018-01,60,-19,-0.240506329114
4,2017-12,79,15,0.234375
5,2017-11,64,7,0.122807017544
6,2017-10,57,-13,-0.185714285714
7,2017-09,70,-1,-0.0140845070423
8,2017-08,71,20,0.392156862745
9,2017-07,51,-11,-0.177419354839
10,2017-06,62,-48,-0.436363636364
11,2017-05,110,39,0.549295774648
12,2017-04,71,-3,-0.0405405405405
13,2017-03,74,21,0.396226415094
14,2017-02,53,-10,-0.15873015873
15,2017-01,63,11,0.211538461538
16,2016-12,52,-11,-0.174603174603
17,2016-11,63,-1,-0.015625
18,2016-10,64,12,0.230769230769
19,2016-09,52,-12,-0.1875
20,2016-08,64,-8,-0.111111111111
21,2016-07,72,17,0.309090909091
22,2016-06,55,-26,-0.320987654321
23,2016-05,81,28,0.528301886792
24,2016-04,53,-4,-0.0701754385965
25,2016-03,57,-9,-0.136363636364
26,2016-02,66,0,0.0
27,2016-01,66,-56,-0.459016393443
28,2015-12,122,60,0.967741935484
29,2015-11,62,15,0.31914893617
30,2015-10,47,7,0.175
31,2015-09,40,2,0.0526315789474
32,2015-08,38,-8,-0.173913043478
33,2015-07,46,-76,-0.622950819672
34,2015-06,122,41,0.506172839506
35,2015-05,81,-153,-0.653846153846
36,2015-04,234,0,0.0
