,date,nums,increment,ratio
0,2011-06,43,-51,-0.542553191489
1,2011-05,94,42,0.807692307692
2,2011-04,52,-94,-0.643835616438
3,2011-03,146,103,2.39534883721
4,2011-02,43,21,0.954545454545
5,2011-01,22,-10,-0.3125
6,2010-12,32,-15,-0.31914893617
7,2010-11,47,22,0.88
8,2010-10,25,-14,-0.358974358974
9,2010-09,39,13,0.5
10,2010-08,26,-13,-0.333333333333
11,2010-07,39,6,0.181818181818
12,2010-06,33,7,0.269230769231
13,2010-05,26,-16,-0.380952380952
14,2010-04,42,18,0.75
15,2010-03,24,4,0.2
16,2010-02,20,-8,-0.285714285714
17,2010-01,28,-6,-0.176470588235
18,2009-12,34,1,0.030303030303
19,2009-11,33,-17,-0.34
20,2009-10,50,-47,-0.484536082474
21,2009-09,97,48,0.979591836735
22,2009-08,49,12,0.324324324324
23,2009-07,37,-7,-0.159090909091
24,2009-06,44,35,3.88888888889
25,2009-05,9,0,0.0
