,date,nums,increment,ratio
0,2018-04,2,1,1.0
1,2017-12,1,-1,-0.5
2,2017-11,2,1,1.0
3,2017-10,1,-1,-0.5
4,2017-09,2,1,1.0
5,2017-08,1,0,0.0
6,2017-06,1,-2,-0.666666666667
7,2017-04,3,0,0.0
8,2017-03,3,1,0.5
9,2017-02,2,1,1.0
10,2017-01,1,0,0.0
11,2016-12,1,0,0.0
12,2016-11,1,0,0.0
13,2016-10,1,0,0.0
14,2016-09,1,0,0.0
15,2016-07,1,0,0.0
16,2016-06,1,-5,-0.833333333333
17,2016-05,6,3,1.0
18,2016-04,3,1,0.5
19,2016-02,2,-2,-0.5
20,2015-12,4,1,0.333333333333
21,2015-11,3,2,2.0
22,2015-10,1,-1,-0.5
23,2015-09,2,-1,-0.333333333333
24,2015-08,3,2,2.0
25,2015-07,1,-2,-0.666666666667
26,2015-05,3,2,2.0
27,2015-03,1,0,0.0
28,2015-01,1,0,0.0
29,2014-11,1,0,0.0
30,2014-10,1,0,0.0
