,date,nums,increment,ratio
0,2018-04,3,-3,-0.5
1,2018-03,6,5,5.0
2,2018-02,1,-2,-0.666666666667
3,2018-01,3,0,0.0
4,2017-12,3,2,2.0
5,2017-10,1,-1,-0.5
6,2017-09,2,0,0.0
7,2017-08,2,0,0.0
8,2017-07,2,0,0.0
9,2017-06,2,0,0.0
10,2017-05,2,-1,-0.333333333333
11,2017-02,3,-1,-0.25
12,2017-01,4,3,3.0
13,2016-12,1,-1,-0.5
14,2016-11,2,1,1.0
15,2016-10,1,-3,-0.75
16,2016-09,4,2,1.0
17,2016-08,2,0,0.0
18,2016-07,2,1,1.0
19,2016-05,1,0,0.0
20,2016-04,1,-4,-0.8
21,2016-03,5,3,1.5
22,2016-02,2,0,0.0
23,2016-01,2,1,1.0
24,2015-12,1,0,0.0
25,2015-11,1,-1,-0.5
26,2015-10,2,0,0.0
27,2015-09,2,1,1.0
28,2015-08,1,0,0.0
29,2015-07,1,0,0.0
30,2015-06,1,-3,-0.75
31,2015-05,4,1,0.333333333333
32,2015-04,3,1,0.5
33,2015-03,2,1,1.0
34,2014-12,1,-2,-0.666666666667
35,2014-11,3,0,0.0
