,date,nums,increment,ratio
0,2018-04,119,-42,-0.260869565217
1,2018-03,161,-13,-0.0747126436782
2,2018-02,174,-36,-0.171428571429
3,2018-01,210,8,0.039603960396
4,2017-12,202,40,0.246913580247
5,2017-11,162,4,0.0253164556962
6,2017-10,158,10,0.0675675675676
7,2017-09,148,-32,-0.177777777778
8,2017-08,180,63,0.538461538462
9,2017-07,117,4,0.0353982300885
10,2017-06,113,-14,-0.110236220472
11,2017-05,127,38,0.426966292135
12,2017-04,89,-21,-0.190909090909
13,2017-03,110,9,0.0891089108911
14,2017-02,101,-3,-0.0288461538462
15,2017-01,104,-5,-0.045871559633
16,2016-12,109,-28,-0.204379562044
17,2016-11,137,-45,-0.247252747253
18,2016-10,182,46,0.338235294118
19,2016-09,136,13,0.105691056911
20,2016-08,123,25,0.255102040816
21,2016-07,98,-37,-0.274074074074
22,2016-06,135,2,0.015037593985
23,2016-05,133,35,0.357142857143
24,2016-04,98,-18,-0.155172413793
25,2016-03,116,2,0.0175438596491
26,2016-02,114,27,0.310344827586
27,2016-01,87,-47,-0.350746268657
28,2015-12,134,-2,-0.0147058823529
29,2015-11,136,-71,-0.342995169082
30,2015-10,207,76,0.580152671756
31,2015-09,131,30,0.29702970297
32,2015-08,101,-4,-0.0380952380952
33,2015-07,105,-21,-0.166666666667
34,2015-06,126,-16,-0.112676056338
35,2015-05,142,-14,-0.0897435897436
36,2015-04,156,-36,-0.1875
37,2015-03,192,66,0.52380952381
38,2015-02,126,14,0.125
39,2015-01,112,-79,-0.413612565445
40,2014-12,191,63,0.4921875
41,2014-11,128,-80,-0.384615384615
42,2014-10,208,19,0.100529100529
43,2014-09,189,18,0.105263157895
44,2014-08,171,26,0.179310344828
45,2014-07,145,-17,-0.104938271605
46,2014-06,162,36,0.285714285714
47,2014-05,126,3,0.0243902439024
48,2014-04,123,-21,-0.145833333333
49,2014-03,144,14,0.107692307692
50,2014-02,130,10,0.0833333333333
51,2014-01,120,-30,-0.2
52,2013-12,150,9,0.063829787234
53,2013-11,141,10,0.0763358778626
54,2013-10,131,-77,-0.370192307692
55,2013-09,208,-18,-0.0796460176991
56,2013-08,226,3,0.0134529147982
57,2013-07,223,138,1.62352941176
58,2013-06,85,-71,-0.455128205128
59,2013-05,156,-45,-0.223880597015
60,2013-04,201,22,0.122905027933
61,2013-03,179,-22,-0.109452736318
62,2013-02,201,27,0.155172413793
63,2013-01,174,47,0.370078740157
64,2012-12,127,15,0.133928571429
65,2012-11,112,-2,-0.0175438596491
66,2012-10,114,-28,-0.197183098592
67,2012-09,142,1,0.00709219858156
68,2012-08,141,46,0.484210526316
69,2012-07,95,-2,-0.020618556701
70,2012-06,97,-63,-0.39375
71,2012-05,160,1,0.0062893081761
72,2012-04,159,32,0.251968503937
73,2012-03,127,13,0.114035087719
74,2012-02,114,17,0.175257731959
75,2012-01,97,-57,-0.37012987013
76,2011-12,154,-30,-0.163043478261
77,2011-11,184,41,0.286713286713
78,2011-10,143,-22,-0.133333333333
79,2011-09,165,10,0.0645161290323
80,2011-08,155,59,0.614583333333
81,2011-07,96,-2,-0.0204081632653
82,2011-06,98,2,0.0208333333333
83,2011-05,96,-40,-0.294117647059
84,2011-04,136,-2,-0.0144927536232
85,2011-03,138,77,1.26229508197
86,2011-02,61,17,0.386363636364
87,2011-01,44,-64,-0.592592592593
88,2010-12,108,-37,-0.255172413793
89,2010-11,145,1,0.00694444444444
90,2010-10,144,27,0.230769230769
91,2010-09,117,87,2.9
92,2010-08,30,-40,-0.571428571429
93,2010-07,70,-32,-0.313725490196
94,2010-06,102,1,0.00990099009901
95,2010-05,101,41,0.683333333333
96,2010-04,60,-25,-0.294117647059
97,2010-03,85,27,0.465517241379
98,2010-02,58,-4,-0.0645161290323
99,2010-01,62,-3,-0.0461538461538
100,2009-12,65,5,0.0833333333333
101,2009-11,60,-23,-0.277108433735
102,2009-10,83,11,0.152777777778
103,2009-09,72,30,0.714285714286
104,2009-08,42,-102,-0.708333333333
105,2009-07,144,-4,-0.027027027027
106,2009-06,148,52,0.541666666667
107,2009-05,96,55,1.34146341463
108,2009-04,41,-5,-0.108695652174
109,2009-03,46,30,1.875
110,2009-02,16,-49,-0.753846153846
111,2009-01,65,5,0.0833333333333
112,2008-12,60,-1,-0.016393442623
113,2008-11,61,-13,-0.175675675676
114,2008-10,74,33,0.80487804878
115,2008-09,41,-32,-0.438356164384
116,2008-08,73,-10,-0.120481927711
117,2008-07,83,18,0.276923076923
118,2008-06,65,2,0.031746031746
119,2008-05,63,12,0.235294117647
120,2008-04,51,14,0.378378378378
121,2008-03,37,-39,-0.513157894737
122,2008-02,76,13,0.206349206349
123,2008-01,63,16,0.340425531915
124,2007-12,47,5,0.119047619048
125,2007-11,42,16,0.615384615385
126,2007-10,26,-13,-0.333333333333
127,2007-09,39,3,0.0833333333333
128,2007-08,36,10,0.384615384615
129,2007-07,26,6,0.3
130,2007-06,20,3,0.176470588235
131,2007-05,17,12,2.4
132,2007-04,5,0,0.0
