,date,nums,increment,ratio
0,2018-04,37,-21,-0.362068965517
1,2018-03,58,25,0.757575757576
2,2018-02,33,-2,-0.0571428571429
3,2018-01,35,-5,-0.125
4,2017-12,40,-10,-0.2
5,2017-11,50,20,0.666666666667
6,2017-10,30,-5,-0.142857142857
7,2017-09,35,-6,-0.146341463415
8,2017-08,41,-3,-0.0681818181818
9,2017-07,44,3,0.0731707317073
10,2017-06,41,4,0.108108108108
11,2017-05,37,-15,-0.288461538462
12,2017-04,52,11,0.268292682927
13,2017-03,41,2,0.0512820512821
14,2017-02,39,13,0.5
15,2017-01,26,-12,-0.315789473684
16,2016-12,38,-1,-0.025641025641
17,2016-11,39,16,0.695652173913
18,2016-10,23,-12,-0.342857142857
19,2016-09,35,-1,-0.0277777777778
20,2016-08,36,-6,-0.142857142857
21,2016-07,42,7,0.2
22,2016-06,35,-2,-0.0540540540541
23,2016-05,37,0,0.0
24,2016-04,37,4,0.121212121212
25,2016-03,33,8,0.32
26,2016-02,25,-12,-0.324324324324
27,2016-01,37,2,0.0571428571429
28,2015-12,35,13,0.590909090909
29,2015-11,22,3,0.157894736842
30,2015-10,19,-14,-0.424242424242
31,2015-09,33,18,1.2
32,2015-08,15,-9,-0.375
33,2015-07,24,-3,-0.111111111111
34,2015-06,27,2,0.08
35,2015-05,25,0,0.0
36,2015-04,25,-7,-0.21875
37,2015-03,32,14,0.777777777778
38,2015-02,18,-7,-0.28
39,2015-01,25,4,0.190476190476
40,2014-12,21,4,0.235294117647
41,2014-11,17,1,0.0625
42,2014-10,16,-5,-0.238095238095
43,2014-09,21,0,0.0
44,2014-08,21,8,0.615384615385
45,2014-07,13,0,0.0
46,2014-06,13,10,3.33333333333
47,2014-05,3,0,0.0
