,date,nums,increment,ratio
0,2018-04,72,-2,-0.027027027027
1,2018-03,74,25,0.510204081633
2,2018-02,49,-13,-0.209677419355
3,2018-01,62,-1,-0.015873015873
4,2017-12,63,-6,-0.0869565217391
5,2017-11,69,20,0.408163265306
6,2017-10,49,-8,-0.140350877193
7,2017-09,57,2,0.0363636363636
8,2017-08,55,-18,-0.246575342466
9,2017-07,73,9,0.140625
10,2017-06,64,10,0.185185185185
11,2017-05,54,4,0.08
12,2017-04,50,-10,-0.166666666667
13,2017-03,60,19,0.463414634146
14,2017-02,41,0,0.0
15,2017-01,41,-2,-0.046511627907
16,2016-12,43,-17,-0.283333333333
17,2016-11,60,22,0.578947368421
18,2016-10,38,-9,-0.191489361702
19,2016-09,47,20,0.740740740741
20,2016-08,27,-15,-0.357142857143
21,2016-07,42,5,0.135135135135
22,2016-06,37,-6,-0.139534883721
23,2016-05,43,5,0.131578947368
24,2016-04,38,-2,-0.05
25,2016-03,40,12,0.428571428571
26,2016-02,28,-16,-0.363636363636
27,2016-01,44,-3,-0.063829787234
28,2015-12,47,22,0.88
29,2015-11,25,-8,-0.242424242424
30,2015-10,33,-1,-0.0294117647059
31,2015-09,34,7,0.259259259259
32,2015-08,27,4,0.173913043478
33,2015-07,23,0,0.0
34,2015-06,23,-7,-0.233333333333
35,2015-05,30,11,0.578947368421
36,2015-04,19,-15,-0.441176470588
37,2015-03,34,16,0.888888888889
38,2015-02,18,-18,-0.5
39,2015-01,36,-1,-0.027027027027
40,2014-12,37,20,1.17647058824
41,2014-11,17,-3,-0.15
42,2014-10,20,-4,-0.166666666667
43,2014-09,24,10,0.714285714286
44,2014-08,14,3,0.272727272727
45,2014-07,11,0,0.0
46,2014-06,11,8,2.66666666667
47,2014-05,3,0,0.0
