,date,nums,increment,ratio
0,2018-04,149,10,0.0719424460432
1,2018-03,139,-10,-0.0671140939597
2,2018-02,149,-17,-0.102409638554
3,2018-01,166,74,0.804347826087
4,2017-12,92,-51,-0.356643356643
5,2017-11,143,-26,-0.153846153846
6,2017-10,169,11,0.0696202531646
7,2017-09,158,32,0.253968253968
8,2017-08,126,28,0.285714285714
9,2017-07,98,-1,-0.010101010101
10,2017-06,99,-79,-0.443820224719
11,2017-05,178,38,0.271428571429
12,2017-04,140,-62,-0.306930693069
13,2017-03,202,16,0.0860215053763
14,2017-02,186,45,0.31914893617
15,2017-01,141,21,0.175
16,2016-12,120,1,0.00840336134454
17,2016-11,119,-25,-0.173611111111
18,2016-10,144,34,0.309090909091
19,2016-09,110,-48,-0.303797468354
20,2016-08,158,-7,-0.0424242424242
21,2016-07,165,17,0.114864864865
22,2016-06,148,-50,-0.252525252525
23,2016-05,198,60,0.434782608696
24,2016-04,138,3,0.0222222222222
25,2016-03,135,2,0.015037593985
26,2016-02,133,2,0.0152671755725
27,2016-01,131,-8,-0.0575539568345
28,2015-12,139,13,0.103174603175
29,2015-11,126,-46,-0.267441860465
30,2015-10,172,-21,-0.108808290155
31,2015-09,193,41,0.269736842105
32,2015-08,152,-6,-0.0379746835443
33,2015-07,158,-53,-0.251184834123
34,2015-06,211,-27,-0.113445378151
35,2015-05,238,-66,-0.217105263158
36,2015-04,304,63,0.261410788382
37,2015-03,241,30,0.142180094787
38,2015-02,211,20,0.104712041885
39,2015-01,191,24,0.14371257485
40,2014-12,167,-73,-0.304166666667
41,2014-11,240,-57,-0.191919191919
42,2014-10,297,6,0.020618556701
43,2014-09,291,40,0.159362549801
44,2014-08,251,97,0.62987012987
45,2014-07,154,43,0.387387387387
46,2014-06,111,18,0.193548387097
47,2014-05,93,-42,-0.311111111111
48,2014-04,135,-82,-0.377880184332
49,2014-03,217,110,1.02803738318
50,2014-02,107,-17,-0.137096774194
51,2014-01,124,-10,-0.0746268656716
52,2013-12,134,3,0.0229007633588
53,2013-11,131,-71,-0.351485148515
54,2013-10,202,29,0.167630057803
55,2013-09,173,36,0.262773722628
56,2013-08,137,26,0.234234234234
57,2013-07,111,13,0.132653061224
58,2013-06,98,42,0.75
59,2013-05,56,-87,-0.608391608392
60,2013-04,143,81,1.3064516129
61,2013-03,62,20,0.47619047619
62,2013-02,42,-15,-0.263157894737
63,2013-01,57,0,0.0
64,2012-12,57,-11,-0.161764705882
65,2012-11,68,30,0.789473684211
66,2012-10,38,-22,-0.366666666667
67,2012-09,60,26,0.764705882353
68,2012-08,34,-9,-0.209302325581
69,2012-07,43,-2,-0.0444444444444
70,2012-06,45,12,0.363636363636
71,2012-05,33,-12,-0.266666666667
72,2012-04,45,8,0.216216216216
73,2012-03,37,10,0.37037037037
74,2012-02,27,-5,-0.15625
75,2012-01,32,-14,-0.304347826087
76,2011-12,46,4,0.0952380952381
77,2011-11,42,-2,-0.0454545454545
78,2011-10,44,7,0.189189189189
79,2011-09,37,-11,-0.229166666667
80,2011-08,48,6,0.142857142857
81,2011-07,42,19,0.826086956522
82,2011-06,23,0,0.0
83,2011-05,23,0,0.0
84,2011-04,23,-17,-0.425
85,2011-03,40,-3,-0.0697674418605
86,2011-02,43,11,0.34375
87,2011-01,32,-4,-0.111111111111
88,2010-12,36,-9,-0.2
89,2010-11,45,-4,-0.0816326530612
90,2010-10,49,18,0.58064516129
91,2010-09,31,-14,-0.311111111111
92,2010-08,45,11,0.323529411765
93,2010-07,34,-3,-0.0810810810811
94,2010-06,37,12,0.48
95,2010-05,25,0,0.0
96,2010-04,25,-6,-0.193548387097
97,2010-03,31,-20,-0.392156862745
98,2010-02,51,-9,-0.15
99,2010-01,60,24,0.666666666667
100,2009-12,36,10,0.384615384615
101,2009-11,26,-9,-0.257142857143
102,2009-10,35,3,0.09375
103,2009-09,32,-23,-0.418181818182
104,2009-08,55,-11,-0.166666666667
105,2009-07,66,28,0.736842105263
106,2009-06,38,-1,-0.025641025641
107,2009-05,39,-19,-0.327586206897
108,2009-04,58,22,0.611111111111
109,2009-03,36,17,0.894736842105
110,2009-02,19,-23,-0.547619047619
111,2009-01,42,-20,-0.322580645161
112,2008-12,62,49,3.76923076923
113,2008-11,13,10,3.33333333333
114,2008-10,3,-15,-0.833333333333
115,2008-09,18,0,0.0
