,date,nums,increment,ratio
0,2018-04,38,-5,-0.116279069767
1,2018-03,43,15,0.535714285714
2,2018-02,28,-7,-0.2
3,2018-01,35,-5,-0.125
4,2017-12,40,-3,-0.0697674418605
5,2017-11,43,11,0.34375
6,2017-10,32,-11,-0.255813953488
7,2017-09,43,7,0.194444444444
8,2017-08,36,-1,-0.027027027027
9,2017-07,37,-7,-0.159090909091
10,2017-06,44,-5,-0.102040816327
11,2017-05,49,6,0.139534883721
12,2017-04,43,-3,-0.0652173913043
13,2017-03,46,13,0.393939393939
14,2017-02,33,5,0.178571428571
15,2017-01,28,2,0.0769230769231
16,2016-12,26,-15,-0.365853658537
17,2016-11,41,4,0.108108108108
18,2016-10,37,-6,-0.139534883721
19,2016-09,43,1,0.0238095238095
20,2016-08,42,13,0.448275862069
21,2016-07,29,-5,-0.147058823529
22,2016-06,34,8,0.307692307692
23,2016-05,26,-11,-0.297297297297
24,2016-04,37,10,0.37037037037
25,2016-03,27,6,0.285714285714
26,2016-02,21,3,0.166666666667
27,2016-01,18,-11,-0.379310344828
28,2015-12,29,10,0.526315789474
29,2015-11,19,-2,-0.0952380952381
30,2015-10,21,5,0.3125
31,2015-09,16,-18,-0.529411764706
32,2015-08,34,-1,-0.0285714285714
33,2015-07,35,3,0.09375
34,2015-06,32,4,0.142857142857
35,2015-05,28,2,0.0769230769231
36,2015-04,26,2,0.0833333333333
37,2015-03,24,7,0.411764705882
38,2015-02,17,5,0.416666666667
39,2015-01,12,-4,-0.25
40,2014-12,16,-4,-0.2
41,2014-11,20,-3,-0.130434782609
42,2014-10,23,4,0.210526315789
43,2014-09,19,8,0.727272727273
44,2014-08,11,-1,-0.0833333333333
45,2014-07,12,0,0.0
46,2014-06,12,-10,-0.454545454545
47,2014-05,22,4,0.222222222222
48,2014-04,18,5,0.384615384615
49,2014-03,13,1,0.0833333333333
50,2014-02,12,-3,-0.2
51,2014-01,15,8,1.14285714286
52,2013-12,7,-4,-0.363636363636
53,2013-11,11,-7,-0.388888888889
54,2013-10,18,5,0.384615384615
55,2013-09,13,7,1.16666666667
56,2013-08,6,-2,-0.25
57,2013-07,8,4,1.0
58,2013-06,4,-3,-0.428571428571
59,2013-05,7,-4,-0.363636363636
60,2013-04,11,1,0.1
61,2013-03,10,6,1.5
62,2013-02,4,-5,-0.555555555556
63,2013-01,9,0,0.0
64,2012-12,9,2,0.285714285714
65,2012-11,7,2,0.4
66,2012-10,5,3,1.5
67,2012-09,2,-2,-0.5
68,2012-08,4,-1,-0.2
69,2012-07,5,1,0.25
70,2012-06,4,0,0.0
71,2012-05,4,-1,-0.2
72,2012-04,5,3,1.5
73,2012-03,2,0,0.0
74,2012-02,2,0,0.0
75,2012-01,2,1,1.0
76,2011-12,1,-2,-0.666666666667
77,2011-10,3,2,2.0
78,2011-09,1,-2,-0.666666666667
79,2011-08,3,-2,-0.4
80,2011-07,5,3,1.5
81,2011-06,2,1,1.0
82,2011-04,1,-1,-0.5
83,2011-03,2,1,1.0
84,2011-02,1,-1,-0.5
85,2011-01,2,1,1.0
86,2010-12,1,0,0.0
87,2010-10,1,0,0.0
88,2010-09,1,-1,-0.5
89,2010-06,2,0,0.0
