,date,nums,increment,ratio
0,2018-04,10,-4,-0.285714285714
1,2018-03,14,3,0.272727272727
2,2018-02,11,-7,-0.388888888889
3,2018-01,18,6,0.5
4,2017-12,12,8,2.0
5,2017-11,4,-11,-0.733333333333
6,2017-10,15,3,0.25
7,2017-09,12,-17,-0.586206896552
8,2017-08,29,16,1.23076923077
9,2017-07,13,4,0.444444444444
10,2017-06,9,-8,-0.470588235294
11,2017-05,17,9,1.125
12,2017-04,8,-4,-0.333333333333
13,2017-03,12,-1,-0.0769230769231
14,2017-02,13,-2,-0.133333333333
15,2017-01,15,9,1.5
16,2016-12,6,-5,-0.454545454545
17,2016-11,11,8,2.66666666667
18,2016-10,3,-3,-0.5
19,2016-09,6,0,0.0
20,2016-08,6,-7,-0.538461538462
21,2016-07,13,11,5.5
22,2016-06,2,-3,-0.6
23,2016-05,5,-2,-0.285714285714
24,2016-04,7,5,2.5
25,2016-02,2,-1,-0.333333333333
26,2016-01,3,-3,-0.5
27,2015-12,6,1,0.2
28,2015-11,5,4,4.0
29,2015-10,1,-1,-0.5
30,2015-09,2,1,1.0
31,2015-08,1,-3,-0.75
32,2015-07,4,1,0.333333333333
33,2015-06,3,-4,-0.571428571429
34,2015-05,7,4,1.33333333333
35,2015-04,3,0,0.0
36,2015-01,3,-1,-0.25
37,2014-12,4,3,3.0
38,2014-11,1,0,0.0
39,2014-10,1,0,0.0
40,2014-08,1,-2,-0.666666666667
41,2014-07,3,2,2.0
42,2014-06,1,-2,-0.666666666667
43,2014-05,3,2,2.0
44,2013-12,1,0,0.0
45,2013-10,1,0,0.0
46,2013-08,1,-1,-0.5
47,2013-07,2,1,1.0
48,2013-04,1,0,0.0
49,2013-02,1,-1,-0.5
50,2012-07,2,1,1.0
51,2012-04,1,-1,-0.5
52,2011-08,2,1,1.0
53,2011-07,1,0,0.0
