,date,nums,increment,ratio
0,2018-03,3,0,0.0
1,2018-02,3,-27,-0.9
2,2018-01,30,9,0.428571428571
3,2017-12,21,-9,-0.3
4,2017-11,30,0,0.0
5,2017-10,30,15,1.0
6,2017-09,15,10,2.0
7,2017-08,5,2,0.666666666667
8,2017-07,3,1,0.5
9,2017-06,2,-31,-0.939393939394
10,2017-05,33,32,32.0
11,2017-04,1,-13,-0.928571428571
12,2017-03,14,2,0.166666666667
13,2017-02,12,3,0.333333333333
14,2017-01,9,7,3.5
15,2016-12,2,-1,-0.333333333333
16,2016-11,3,-7,-0.7
17,2016-10,10,6,1.5
18,2016-09,4,-6,-0.6
19,2016-08,10,8,4.0
20,2016-07,2,-3,-0.6
21,2016-06,5,3,1.5
22,2016-05,2,1,1.0
23,2016-04,1,-2,-0.666666666667
24,2016-03,3,-1,-0.25
25,2016-02,4,-49,-0.924528301887
26,2016-01,53,47,7.83333333333
27,2015-12,6,-1,-0.142857142857
28,2015-11,7,5,2.5
29,2015-10,2,1,1.0
30,2015-09,1,-29,-0.966666666667
31,2015-08,30,22,2.75
32,2015-07,8,-4,-0.333333333333
33,2015-06,12,-6,-0.333333333333
34,2015-05,18,11,1.57142857143
35,2015-04,7,-4,-0.363636363636
36,2015-03,11,-5,-0.3125
37,2015-02,16,-2,-0.111111111111
38,2015-01,18,2,0.125
39,2014-12,16,5,0.454545454545
40,2014-11,11,-7,-0.388888888889
41,2014-10,18,-10,-0.357142857143
42,2014-09,28,-31,-0.525423728814
43,2014-08,59,51,6.375
44,2014-07,8,-32,-0.8
45,2014-06,40,31,3.44444444444
46,2014-05,9,2,0.285714285714
47,2014-04,7,-9,-0.5625
48,2014-03,16,-53,-0.768115942029
49,2014-02,69,37,1.15625
50,2014-01,32,26,4.33333333333
51,2013-12,6,-1,-0.142857142857
52,2013-11,7,-20,-0.740740740741
53,2013-10,27,14,1.07692307692
54,2013-09,13,-28,-0.682926829268
55,2013-08,41,26,1.73333333333
56,2013-07,15,-25,-0.625
57,2013-06,40,10,0.333333333333
58,2013-05,30,2,0.0714285714286
59,2013-04,28,17,1.54545454545
60,2013-03,11,-16,-0.592592592593
61,2013-02,27,-21,-0.4375
62,2013-01,48,-2,-0.04
63,2012-12,50,8,0.190476190476
64,2012-11,42,28,2.0
65,2012-10,14,7,1.0
66,2012-09,7,-5,-0.416666666667
67,2012-08,12,6,1.0
68,2012-07,6,-38,-0.863636363636
69,2012-06,44,23,1.09523809524
70,2012-05,21,13,1.625
71,2012-04,8,0,0.0
72,2012-03,8,-16,-0.666666666667
73,2012-02,24,8,0.5
74,2012-01,16,12,3.0
75,2011-12,4,-11,-0.733333333333
76,2011-11,15,-33,-0.6875
77,2011-10,48,16,0.5
78,2011-09,32,9,0.391304347826
79,2011-08,23,9,0.642857142857
80,2011-07,14,5,0.555555555556
81,2011-06,9,-7,-0.4375
82,2011-05,16,6,0.6
83,2011-04,10,-16,-0.615384615385
84,2011-03,26,8,0.444444444444
85,2011-02,18,-32,-0.64
86,2011-01,50,-50,-0.5
87,2010-12,100,80,4.0
88,2010-11,20,2,0.111111111111
89,2010-10,18,-8,-0.307692307692
90,2010-09,26,0,0.0
91,2010-08,26,5,0.238095238095
92,2010-07,21,5,0.3125
93,2010-06,16,-32,-0.666666666667
94,2010-05,48,7,0.170731707317
95,2010-04,41,29,2.41666666667
96,2010-03,12,6,1.0
97,2010-02,6,-4,-0.4
98,2010-01,10,-2,-0.166666666667
99,2009-12,12,-3,-0.2
100,2009-11,15,-4,-0.210526315789
101,2009-10,19,-11,-0.366666666667
102,2009-09,30,14,0.875
103,2009-08,16,-6,-0.272727272727
104,2009-07,22,8,0.571428571429
105,2009-06,14,9,1.8
106,2009-05,5,-22,-0.814814814815
107,2009-04,27,-18,-0.4
108,2009-03,45,26,1.36842105263
109,2009-02,19,1,0.0555555555556
110,2008-12,18,12,2.0
111,2008-11,6,-7,-0.538461538462
112,2008-10,13,9,2.25
113,2008-09,4,-9,-0.692307692308
114,2008-08,13,-6,-0.315789473684
115,2008-07,19,2,0.117647058824
116,2008-06,17,-25,-0.595238095238
117,2008-05,42,-1,-0.0232558139535
118,2008-04,43,36,5.14285714286
119,2008-03,7,-63,-0.9
120,2008-02,70,36,1.05882352941
121,2008-01,34,-18,-0.346153846154
122,2007-12,52,44,5.5
123,2007-11,8,-18,-0.692307692308
124,2007-10,26,2,0.0833333333333
125,2007-09,24,13,1.18181818182
126,2007-08,11,-76,-0.873563218391
127,2007-07,87,71,4.4375
128,2007-06,16,-30,-0.652173913043
129,2007-05,46,22,0.916666666667
130,2007-04,24,23,23.0
131,2007-03,1,-51,-0.980769230769
132,2007-02,52,23,0.793103448276
133,2007-01,29,18,1.63636363636
134,2006-12,11,10,10.0
135,2006-11,1,-10,-0.909090909091
136,2006-09,11,7,1.75
137,2006-07,4,-2,-0.333333333333
138,2006-06,6,-17,-0.739130434783
139,2006-05,23,22,22.0
140,2006-04,1,0,0.0
141,2006-02,1,-6,-0.857142857143
142,2005-12,7,0,0.0
