,date,nums,increment,ratio
0,2018-04,7,-8,-0.533333333333
1,2018-03,15,7,0.875
2,2018-02,8,-4,-0.333333333333
3,2018-01,12,2,0.2
4,2017-12,10,-3,-0.230769230769
5,2017-11,13,0,0.0
6,2017-10,13,1,0.0833333333333
7,2017-09,12,-1,-0.0769230769231
8,2017-08,13,2,0.181818181818
9,2017-07,11,4,0.571428571429
10,2017-06,7,-2,-0.222222222222
11,2017-05,9,-1,-0.1
12,2017-04,10,-19,-0.655172413793
13,2017-03,29,17,1.41666666667
14,2017-02,12,-4,-0.25
15,2017-01,16,4,0.333333333333
16,2016-12,12,-3,-0.2
17,2016-11,15,0,0.0
18,2016-10,15,4,0.363636363636
19,2016-09,11,-7,-0.388888888889
20,2016-08,18,5,0.384615384615
21,2016-07,13,-2,-0.133333333333
22,2016-06,15,0,0.0
23,2016-05,15,4,0.363636363636
24,2016-04,11,-3,-0.214285714286
25,2016-03,14,9,1.8
26,2016-02,5,-8,-0.615384615385
27,2016-01,13,-7,-0.35
28,2015-12,20,4,0.25
29,2015-11,16,6,0.6
30,2015-10,10,-10,-0.5
31,2015-09,20,8,0.666666666667
32,2015-08,12,3,0.333333333333
33,2015-07,9,-7,-0.4375
34,2015-06,16,4,0.333333333333
35,2015-05,12,1,0.0909090909091
36,2015-04,11,0,0.0
37,2015-03,11,5,0.833333333333
38,2015-02,6,-3,-0.333333333333
39,2015-01,9,-2,-0.181818181818
40,2014-12,11,7,1.75
41,2014-11,4,-7,-0.636363636364
42,2014-10,11,4,0.571428571429
43,2014-09,7,3,0.75
44,2014-08,4,2,1.0
45,2014-07,2,-2,-0.5
46,2014-06,4,-5,-0.555555555556
47,2014-05,9,7,3.5
48,2014-04,2,-6,-0.75
49,2014-03,8,4,1.0
50,2013-12,4,0,0.0
51,2013-11,4,3,3.0
52,2013-10,1,0,0.0
53,2013-09,1,0,0.0
54,2013-08,1,0,0.0
55,2013-07,1,-3,-0.75
56,2013-05,4,1,0.333333333333
57,2013-04,3,2,2.0
58,2013-03,1,-1,-0.5
59,2013-02,2,1,1.0
60,2012-10,1,0,0.0
61,2012-09,1,0,0.0
62,2012-07,1,0,0.0
63,2012-06,1,0,0.0
64,2012-05,1,0,0.0
65,2012-04,1,0,0.0
66,2011-12,1,0,0.0
67,2011-10,1,0,0.0
68,2011-09,1,0,0.0
69,2011-07,1,-1,-0.5
70,2011-06,2,0,0.0
71,2011-05,2,1,1.0
72,2011-03,1,0,0.0
73,2011-02,1,-1,-0.5
74,2011-01,2,-1,-0.333333333333
75,2010-10,3,1,0.5
76,2010-08,2,1,1.0
77,2010-04,1,0,0.0
78,2010-02,1,0,0.0
79,2009-12,1,-1,-0.5
80,2009-10,2,1,1.0
81,2009-09,1,0,0.0
82,2009-07,1,0,0.0
83,2009-06,1,-5,-0.833333333333
84,2009-05,6,0,0.0
