,date,nums,increment,ratio
0,2018-04,78,-5,-0.0602409638554
1,2018-03,83,-7,-0.0777777777778
2,2018-02,90,-26,-0.224137931034
3,2018-01,116,24,0.260869565217
4,2017-12,92,29,0.460317460317
5,2017-11,63,1,0.0161290322581
6,2017-10,62,-33,-0.347368421053
7,2017-09,95,26,0.376811594203
8,2017-08,69,-13,-0.158536585366
9,2017-07,82,9,0.123287671233
10,2017-06,73,5,0.0735294117647
11,2017-05,68,-5,-0.0684931506849
12,2017-04,73,-11,-0.130952380952
13,2017-03,84,-42,-0.333333333333
14,2017-02,126,-3,-0.0232558139535
15,2017-01,129,-3,-0.0227272727273
16,2016-12,132,41,0.450549450549
17,2016-11,91,30,0.491803278689
18,2016-10,61,4,0.0701754385965
19,2016-09,57,-120,-0.677966101695
20,2016-08,177,89,1.01136363636
21,2016-07,88,-20,-0.185185185185
22,2016-06,108,-12,-0.1
23,2016-05,120,-18,-0.130434782609
24,2016-04,138,-46,-0.25
25,2016-03,184,-61,-0.248979591837
26,2016-02,245,7,0.0294117647059
27,2016-01,238,132,1.24528301887
28,2015-12,106,12,0.127659574468
29,2015-11,94,-15,-0.137614678899
30,2015-10,109,5,0.0480769230769
31,2015-09,104,0,0.0
32,2015-08,104,63,1.53658536585
33,2015-07,41,-49,-0.544444444444
34,2015-06,90,4,0.046511627907
35,2015-05,86,-48,-0.358208955224
36,2015-04,134,48,0.558139534884
37,2015-03,86,18,0.264705882353
38,2015-02,68,-18,-0.209302325581
39,2015-01,86,0,0.0
40,2014-12,86,15,0.211267605634
41,2014-11,71,-22,-0.236559139785
42,2014-10,93,67,2.57692307692
43,2014-09,26,-21,-0.446808510638
44,2014-08,47,-57,-0.548076923077
45,2014-07,104,-19,-0.154471544715
46,2014-06,123,27,0.28125
47,2014-05,96,-49,-0.337931034483
48,2014-04,145,78,1.16417910448
49,2014-03,67,-63,-0.484615384615
50,2014-02,130,5,0.04
51,2014-01,125,17,0.157407407407
52,2013-12,108,22,0.255813953488
53,2013-11,86,-19,-0.180952380952
54,2013-10,105,-29,-0.216417910448
55,2013-09,134,35,0.353535353535
56,2013-08,99,43,0.767857142857
57,2013-07,56,-58,-0.508771929825
58,2013-06,114,-7,-0.0578512396694
59,2013-05,121,7,0.0614035087719
60,2013-04,114,16,0.163265306122
61,2013-03,98,30,0.441176470588
62,2013-02,68,-70,-0.507246376812
63,2013-01,138,-6,-0.0416666666667
64,2012-12,144,52,0.565217391304
65,2012-11,92,6,0.0697674418605
66,2012-10,86,-25,-0.225225225225
67,2012-09,111,-70,-0.386740331492
68,2012-08,181,38,0.265734265734
69,2012-07,143,62,0.765432098765
70,2012-06,81,-84,-0.509090909091
71,2012-05,165,-176,-0.516129032258
72,2012-04,341,191,1.27333333333
73,2012-03,150,53,0.546391752577
74,2012-02,97,8,0.0898876404494
75,2012-01,89,-66,-0.425806451613
76,2011-12,155,-143,-0.479865771812
77,2011-11,298,173,1.384
78,2011-10,125,-3,-0.0234375
79,2011-09,128,9,0.0756302521008
80,2011-08,119,10,0.0917431192661
81,2011-07,109,13,0.135416666667
82,2011-06,96,10,0.116279069767
83,2011-05,86,-8,-0.0851063829787
84,2011-04,94,-86,-0.477777777778
85,2011-03,180,63,0.538461538462
86,2011-02,117,-59,-0.335227272727
87,2011-01,176,-34,-0.161904761905
88,2010-12,210,-56,-0.210526315789
89,2010-11,266,86,0.477777777778
90,2010-10,180,34,0.232876712329
91,2010-09,146,56,0.622222222222
92,2010-08,90,28,0.451612903226
93,2010-07,62,-105,-0.62874251497
94,2010-06,167,95,1.31944444444
95,2010-05,72,-46,-0.389830508475
96,2010-04,118,-39,-0.248407643312
97,2010-03,157,50,0.467289719626
98,2010-02,107,39,0.573529411765
99,2010-01,68,-8,-0.105263157895
100,2009-12,76,-108,-0.586956521739
101,2009-11,184,53,0.404580152672
102,2009-10,131,21,0.190909090909
103,2009-09,110,53,0.929824561404
104,2009-08,57,-27,-0.321428571429
105,2009-07,84,41,0.953488372093
106,2009-06,43,-105,-0.709459459459
107,2009-05,148,85,1.34920634921
108,2009-04,63,-86,-0.577181208054
109,2009-03,149,76,1.04109589041
110,2009-02,73,-84,-0.535031847134
111,2009-01,157,-67,-0.299107142857
112,2008-12,224,105,0.882352941176
113,2008-11,119,28,0.307692307692
114,2008-10,91,45,0.978260869565
115,2008-09,46,-32,-0.410256410256
116,2008-08,78,39,1.0
117,2008-07,39,-74,-0.654867256637
118,2008-06,113,-9,-0.0737704918033
119,2008-05,122,-34,-0.217948717949
120,2008-04,156,70,0.813953488372
121,2008-03,86,-6,-0.0652173913043
122,2008-02,92,34,0.586206896552
123,2008-01,58,-62,-0.516666666667
124,2007-12,120,12,0.111111111111
125,2007-11,108,38,0.542857142857
126,2007-10,70,-51,-0.421487603306
127,2007-09,121,-56,-0.316384180791
128,2007-08,177,105,1.45833333333
129,2007-07,72,18,0.333333333333
130,2007-06,54,20,0.588235294118
131,2007-05,34,11,0.478260869565
132,2007-04,23,-27,-0.54
133,2007-03,50,29,1.38095238095
134,2007-02,21,-8,-0.275862068966
135,2007-01,29,-24,-0.452830188679
136,2006-12,53,18,0.514285714286
137,2006-11,35,-32,-0.477611940299
138,2006-10,67,29,0.763157894737
139,2006-09,38,-9,-0.191489361702
140,2006-08,47,-60,-0.560747663551
141,2006-07,107,31,0.407894736842
142,2006-06,76,38,1.0
143,2006-05,38,-29,-0.432835820896
144,2006-04,67,25,0.595238095238
145,2006-03,42,-5,-0.106382978723
146,2006-02,47,-26,-0.356164383562
147,2006-01,73,6,0.089552238806
148,2005-12,67,-36,-0.349514563107
149,2005-11,103,-14,-0.119658119658
150,2005-10,117,15,0.147058823529
151,2005-09,102,-46,-0.310810810811
152,2005-08,148,52,0.541666666667
153,2005-07,96,0,0.0
154,2005-06,96,8,0.0909090909091
155,2005-05,88,-8,-0.0833333333333
156,2005-04,96,23,0.315068493151
157,2005-03,73,-31,-0.298076923077
158,2005-02,104,-21,-0.168
159,2005-01,125,11,0.0964912280702
160,2004-12,114,-110,-0.491071428571
161,2004-11,224,124,1.24
162,2004-10,100,-97,-0.492385786802
163,2004-09,197,-53,-0.212
164,2004-08,250,152,1.55102040816
165,2004-07,98,5,0.0537634408602
166,2004-06,93,2,0.021978021978
