,date,nums,increment,ratio
0,2018,367,-649,-0.638779527559
1,2017,1016,-623,-0.380109823063
2,2016,1639,531,0.479241877256
3,2015,1108,-5,-0.00449236298293
4,2014,1113,-128,-0.103142626914
5,2013,1241,-439,-0.26130952381
6,2012,1680,-3,-0.0017825311943
7,2011,1683,40,0.0243457090688
8,2010,1643,368,0.28862745098
9,2009,1275,51,0.0416666666667
10,2008,1224,345,0.392491467577
11,2007,879,189,0.273913043478
12,2006,690,-525,-0.432098765432
13,2005,1215,-552,-0.312393887946
14,2004,1767,315,0.21694214876
15,2003,1452,-2484,-0.631097560976
16,2002,3936,642,0.194899817851
17,2001,3294,1003,0.437800087298
18,2000,2291,1675,2.71915584416
19,1999,616,370,1.50406504065
20,1998,246,-103,-0.295128939828
21,1997,349,256,2.75268817204
22,1996,93,0,0.0
