,date,nums,increment,ratio
0,2018-04,2,-5,-0.714285714286
1,2018-03,7,4,1.33333333333
2,2018-02,3,1,0.5
3,2018-01,2,1,1.0
4,2017-12,1,-4,-0.8
5,2017-11,5,4,4.0
6,2017-10,1,-12,-0.923076923077
7,2017-09,13,-14,-0.518518518519
8,2017-08,27,21,3.5
9,2017-07,6,4,2.0
10,2017-06,2,-5,-0.714285714286
11,2017-05,7,1,0.166666666667
12,2017-04,6,5,5.0
13,2016-10,1,0,0.0
14,2015-11,1,0,0.0
15,2015-09,1,0,0.0
16,2015-08,1,-1,-0.5
17,2015-06,2,1,1.0
18,2015-05,1,0,0.0
19,2015-04,1,-2,-0.666666666667
20,2015-03,3,1,0.5
21,2014-11,2,1,1.0
22,2014-04,1,-1,-0.5
23,2014-03,2,0,0.0
