,date,nums,increment,ratio
0,2018-04,34,6,0.214285714286
1,2018-03,28,-10,-0.263157894737
2,2018-02,38,-37,-0.493333333333
3,2018-01,75,-1,-0.0131578947368
4,2017-12,76,56,2.8
5,2017-11,20,-19,-0.487179487179
6,2017-10,39,-20,-0.338983050847
7,2017-09,59,41,2.27777777778
8,2017-08,18,16,8.0
9,2017-07,2,0,0.0
10,2017-04,2,-1,-0.333333333333
11,2017-03,3,2,2.0
12,2016-12,1,-30,-0.967741935484
13,2016-06,31,28,9.33333333333
14,2016-04,3,1,0.5
15,2015-12,2,-2,-0.5
16,2015-04,4,3,3.0
17,2015-03,1,-2,-0.666666666667
18,2015-02,3,2,2.0
19,2014-09,1,0,0.0
20,2014-05,1,0,0.0
21,2014-04,1,-2,-0.666666666667
22,2014-03,3,2,2.0
23,2014-02,1,0,0.0
24,2014-01,1,-1,-0.5
25,2013-09,2,1,1.0
26,2013-08,1,-4,-0.8
27,2013-03,5,2,0.666666666667
28,2013-02,3,-5,-0.625
29,2013-01,8,3,0.6
30,2012-12,5,4,4.0
31,2012-11,1,-6,-0.857142857143
32,2012-10,7,-8,-0.533333333333
33,2012-09,15,-74,-0.831460674157
34,2012-08,89,-93,-0.510989010989
35,2012-07,182,79,0.766990291262
36,2012-06,103,-91,-0.469072164948
37,2012-05,194,105,1.1797752809
38,2012-04,89,-243,-0.731927710843
39,2012-03,332,215,1.83760683761
40,2012-02,117,51,0.772727272727
41,2012-01,66,-136,-0.673267326733
42,2011-12,202,-29,-0.125541125541
43,2011-11,231,99,0.75
44,2011-10,132,0,0.0
