,date,nums,increment,ratio
0,2018-04,368,-139,-0.2741617357
1,2018-03,507,212,0.718644067797
2,2018-02,295,-177,-0.375
3,2018-01,472,-63,-0.117757009346
4,2017-12,535,-51,-0.0870307167235
5,2017-11,586,249,0.738872403561
6,2017-10,337,-167,-0.331349206349
7,2017-09,504,-4,-0.00787401574803
8,2017-08,508,251,0.976653696498
9,2017-07,257,25,0.10775862069
10,2017-06,232,-33,-0.124528301887
11,2017-05,265,23,0.095041322314
12,2017-04,242,-94,-0.279761904762
13,2017-03,336,134,0.663366336634
14,2017-02,202,16,0.0860215053763
15,2017-01,186,-57,-0.234567901235
16,2016-12,243,13,0.0565217391304
17,2016-11,230,49,0.270718232044
18,2016-10,181,-21,-0.10396039604
19,2016-09,202,-46,-0.185483870968
20,2016-08,248,-26,-0.0948905109489
21,2016-07,274,31,0.127572016461
22,2016-06,243,-4,-0.0161943319838
23,2016-05,247,48,0.241206030151
24,2016-04,199,-7,-0.0339805825243
25,2016-03,206,105,1.0396039604
26,2016-02,101,-45,-0.308219178082
27,2016-01,146,-7,-0.0457516339869
28,2015-12,153,9,0.0625
29,2015-11,144,25,0.210084033613
30,2015-10,119,13,0.122641509434
31,2015-09,106,-34,-0.242857142857
32,2015-08,140,10,0.0769230769231
33,2015-07,130,-2,-0.0151515151515
34,2015-06,132,24,0.222222222222
35,2015-05,108,-36,-0.25
36,2015-04,144,59,0.694117647059
37,2015-03,85,43,1.02380952381
38,2015-02,42,-47,-0.52808988764
39,2015-01,89,13,0.171052631579
40,2014-12,76,-2,-0.025641025641
41,2014-11,78,-1,-0.0126582278481
42,2014-10,79,7,0.0972222222222
43,2014-09,72,21,0.411764705882
44,2014-08,51,-3,-0.0555555555556
45,2014-07,54,-3,-0.0526315789474
46,2014-06,57,9,0.1875
47,2014-05,48,-1,-0.0204081632653
48,2014-04,49,2,0.0425531914894
49,2014-03,47,20,0.740740740741
50,2014-02,27,6,0.285714285714
51,2014-01,21,10,0.909090909091
52,2013-12,11,-1,-0.0833333333333
53,2013-11,12,-2,-0.142857142857
54,2013-10,14,4,0.4
55,2013-09,10,-9,-0.473684210526
56,2013-08,19,6,0.461538461538
57,2013-07,13,2,0.181818181818
58,2013-06,11,0,0.0
59,2013-05,11,-1,-0.0833333333333
60,2013-04,12,0,0.0
61,2013-03,12,6,1.0
62,2013-02,6,-5,-0.454545454545
63,2013-01,11,-1,-0.0833333333333
64,2012-12,12,1,0.0909090909091
65,2012-11,11,10,10.0
66,2012-10,1,-2,-0.666666666667
67,2012-08,3,-3,-0.5
68,2012-07,6,0,0.0
