,date,nums,increment,ratio
0,2018-05,2,-185,-0.989304812834
1,2018-04,187,64,0.520325203252
2,2018-03,123,15,0.138888888889
3,2018-02,108,-48,-0.307692307692
4,2018-01,156,-10,-0.0602409638554
5,2017-12,166,-16,-0.0879120879121
6,2017-11,182,102,1.275
7,2017-10,80,-58,-0.420289855072
8,2017-09,138,43,0.452631578947
9,2017-08,95,83,6.91666666667
10,2017-07,12,-7,-0.368421052632
11,2017-06,19,7,0.583333333333
12,2017-05,12,-5,-0.294117647059
13,2017-04,17,-20,-0.540540540541
14,2017-03,37,24,1.84615384615
15,2017-02,13,6,0.857142857143
16,2017-01,7,-6,-0.461538461538
17,2016-12,13,2,0.181818181818
18,2016-11,11,-1,-0.0833333333333
19,2016-10,12,-1,-0.0769230769231
20,2016-09,13,-4,-0.235294117647
21,2016-08,17,-3,-0.15
22,2016-07,20,-10,-0.333333333333
23,2016-06,30,23,3.28571428571
24,2016-05,7,-7,-0.5
25,2016-04,14,-4,-0.222222222222
26,2016-03,18,8,0.8
27,2016-02,10,2,0.25
28,2016-01,8,-2,-0.2
29,2015-12,10,0,0.0
30,2015-11,10,1,0.111111111111
31,2015-10,9,0,0.0
32,2015-09,9,7,3.5
33,2015-08,2,-6,-0.75
34,2015-07,8,-4,-0.333333333333
35,2015-06,12,8,2.0
36,2015-05,4,-9,-0.692307692308
37,2015-04,13,8,1.6
38,2015-03,5,2,0.666666666667
39,2015-02,3,-2,-0.4
40,2015-01,5,1,0.25
41,2014-12,4,1,0.333333333333
42,2014-11,3,-3,-0.5
43,2014-10,6,1,0.2
44,2014-09,5,-7,-0.583333333333
45,2014-08,12,2,0.2
46,2014-07,10,0,0.0
47,2014-06,10,3,0.428571428571
48,2014-05,7,6,6.0
49,2014-04,1,-11,-0.916666666667
50,2014-03,12,4,0.5
51,2014-02,8,5,1.66666666667
52,2014-01,3,0,0.0
53,2013-11,3,1,0.5
54,2013-10,2,1,1.0
55,2013-09,1,-1,-0.5
56,2013-08,2,-1,-0.333333333333
57,2013-07,3,1,0.5
58,2013-06,2,1,1.0
59,2013-04,1,0,0.0
60,2013-02,1,0,0.0
61,2013-01,1,0,0.0
62,2012-11,1,0,0.0
63,2012-07,1,0,0.0
