,date,nums,increment,ratio
0,2018-04,68,30,0.789473684211
1,2018-03,38,-5,-0.116279069767
2,2018-02,43,11,0.34375
3,2018-01,32,-11,-0.255813953488
4,2017-12,43,7,0.194444444444
5,2017-11,36,6,0.2
6,2017-10,30,-15,-0.333333333333
7,2017-09,45,21,0.875
8,2017-08,24,21,7.0
9,2017-07,3,-3,-0.5
10,2017-06,6,1,0.2
11,2017-05,5,2,0.666666666667
12,2017-04,3,-12,-0.8
13,2017-03,15,13,6.5
14,2017-02,2,-2,-0.5
15,2016-12,4,3,3.0
16,2016-11,1,0,0.0
17,2016-10,1,-6,-0.857142857143
18,2016-09,7,-2,-0.222222222222
19,2016-08,9,6,2.0
20,2016-07,3,-10,-0.769230769231
21,2016-06,13,11,5.5
22,2016-05,2,-1,-0.333333333333
23,2016-04,3,-1,-0.25
24,2016-03,4,3,3.0
25,2016-02,1,-2,-0.666666666667
26,2016-01,3,-1,-0.25
27,2015-12,4,3,3.0
28,2015-11,1,-1,-0.5
29,2015-10,2,0,0.0
30,2015-09,2,-3,-0.6
31,2015-07,5,1,0.25
32,2015-06,4,2,1.0
33,2015-04,2,-1,-0.333333333333
34,2015-03,3,1,0.5
35,2015-02,2,-1,-0.333333333333
36,2015-01,3,2,2.0
37,2014-12,1,0,0.0
38,2014-11,1,0,0.0
39,2014-10,1,-1,-0.5
40,2014-09,2,-2,-0.5
41,2014-08,4,3,3.0
42,2014-07,1,-1,-0.5
43,2014-06,2,-2,-0.5
44,2014-05,4,1,0.333333333333
45,2014-03,3,2,2.0
46,2013-11,1,-1,-0.5
47,2013-10,2,1,1.0
48,2013-09,1,-1,-0.5
49,2013-08,2,1,1.0
50,2013-07,1,-1,-0.5
51,2013-06,2,1,1.0
52,2013-02,1,0,0.0
53,2013-01,1,0,0.0
54,2012-11,1,0,0.0
55,2012-07,1,0,0.0
