,date,nums,increment,ratio
0,2018-04,694,-333,-0.324245374878
1,2018-03,1027,384,0.597200622084
2,2018-02,643,-360,-0.358923230309
3,2018-01,1003,-97,-0.0881818181818
4,2017-12,1100,-471,-0.299809038829
5,2017-11,1571,835,1.13451086957
6,2017-10,736,-248,-0.252032520325
7,2017-09,984,-89,-0.0829450139795
8,2017-08,1073,629,1.41666666667
9,2017-07,444,55,0.141388174807
10,2017-06,389,-30,-0.0715990453461
11,2017-05,419,-9,-0.0210280373832
12,2017-04,428,-115,-0.211786372007
13,2017-03,543,226,0.712933753943
14,2017-02,317,69,0.278225806452
15,2017-01,248,-110,-0.307262569832
16,2016-12,358,29,0.0881458966565
17,2016-11,329,22,0.071661237785
18,2016-10,307,-6,-0.0191693290735
19,2016-09,313,-75,-0.193298969072
20,2016-08,388,34,0.0960451977401
21,2016-07,354,-48,-0.119402985075
22,2016-06,402,56,0.161849710983
23,2016-05,346,74,0.272058823529
24,2016-04,272,-21,-0.0716723549488
25,2016-03,293,115,0.64606741573
26,2016-02,178,-95,-0.347985347985
27,2016-01,273,95,0.533707865169
28,2015-12,178,-33,-0.156398104265
29,2015-11,211,27,0.146739130435
30,2015-10,184,60,0.483870967742
31,2015-09,124,-49,-0.28323699422
32,2015-08,173,26,0.176870748299
33,2015-07,147,-2,-0.0134228187919
34,2015-06,149,14,0.103703703704
35,2015-05,135,-23,-0.145569620253
36,2015-04,158,25,0.187969924812
37,2015-03,133,72,1.18032786885
38,2015-02,61,-70,-0.534351145038
39,2015-01,131,52,0.658227848101
40,2014-12,79,-19,-0.19387755102
41,2014-11,98,9,0.101123595506
42,2014-10,89,6,0.0722891566265
43,2014-09,83,23,0.383333333333
44,2014-08,60,2,0.0344827586207
45,2014-07,58,3,0.0545454545455
46,2014-06,55,7,0.145833333333
47,2014-05,48,-7,-0.127272727273
48,2014-04,55,2,0.0377358490566
49,2014-03,53,17,0.472222222222
50,2014-02,36,7,0.241379310345
51,2014-01,29,17,1.41666666667
52,2013-12,12,-5,-0.294117647059
53,2013-11,17,0,0.0
54,2013-10,17,7,0.7
55,2013-09,10,-14,-0.583333333333
56,2013-08,24,3,0.142857142857
57,2013-07,21,10,0.909090909091
58,2013-06,11,3,0.375
59,2013-05,8,-14,-0.636363636364
60,2013-04,22,-8,-0.266666666667
61,2013-03,30,24,4.0
62,2013-02,6,4,2.0
63,2013-01,2,1,1.0
64,2012-11,1,0,0.0
65,2012-10,1,-7,-0.875
66,2012-08,8,4,1.0
67,2012-07,4,-77,-0.950617283951
68,2012-06,81,0,0.0
