,date,nums,increment,ratio
0,2018-04,47,-6,-0.11320754717
1,2018-03,53,-85,-0.615942028986
2,2018-02,138,-1,-0.00719424460432
3,2018-01,139,27,0.241071428571
4,2017-12,112,-89,-0.442786069652
5,2017-11,201,45,0.288461538462
6,2017-10,156,57,0.575757575758
7,2017-09,99,68,2.1935483871
8,2017-08,31,-53,-0.630952380952
9,2017-07,84,54,1.8
10,2017-06,30,-48,-0.615384615385
11,2017-05,78,19,0.322033898305
12,2017-04,59,-140,-0.70351758794
13,2017-03,199,-234,-0.540415704388
14,2017-02,433,265,1.57738095238
15,2017-01,168,-138,-0.450980392157
16,2016-12,306,190,1.63793103448
17,2016-11,116,-30,-0.205479452055
18,2016-10,146,19,0.149606299213
19,2016-09,127,53,0.716216216216
20,2016-08,74,46,1.64285714286
21,2016-07,28,-5,-0.151515151515
22,2016-06,33,-51,-0.607142857143
23,2016-05,84,-162,-0.658536585366
24,2016-04,246,9,0.0379746835443
25,2016-03,237,11,0.0486725663717
26,2016-02,226,63,0.386503067485
27,2016-01,163,-104,-0.389513108614
28,2015-12,267,251,15.6875
29,2015-11,16,-23,-0.589743589744
30,2015-10,39,10,0.344827586207
31,2015-09,29,-47,-0.618421052632
32,2015-08,76,45,1.45161290323
33,2015-07,31,-58,-0.651685393258
34,2015-06,89,74,4.93333333333
35,2015-05,15,-39,-0.722222222222
36,2015-04,54,-49,-0.47572815534
37,2015-03,103,44,0.745762711864
38,2015-02,59,-7,-0.106060606061
39,2015-01,66,4,0.0645161290323
40,2014-12,62,-28,-0.311111111111
41,2014-11,90,8,0.0975609756098
42,2014-10,82,21,0.344262295082
43,2014-09,61,21,0.525
44,2014-08,40,-12,-0.230769230769
45,2014-07,52,49,16.3333333333
46,2014-06,3,-7,-0.7
47,2014-05,10,0,0.0
48,2014-04,10,-40,-0.8
49,2014-03,50,18,0.5625
50,2014-02,32,4,0.142857142857
51,2014-01,28,-30,-0.51724137931
52,2013-12,58,-10,-0.147058823529
53,2013-11,68,-49,-0.418803418803
54,2013-10,117,27,0.3
55,2013-09,90,-105,-0.538461538462
56,2013-08,195,-4,-0.0201005025126
57,2013-07,199,161,4.23684210526
58,2013-06,38,19,1.0
59,2013-05,19,-30,-0.612244897959
60,2013-04,49,3,0.0652173913043
61,2013-03,46,7,0.179487179487
62,2013-02,39,-49,-0.556818181818
63,2013-01,88,6,0.0731707317073
64,2012-12,82,-18,-0.18
65,2012-11,100,58,1.38095238095
66,2012-10,42,-233,-0.847272727273
67,2012-09,275,89,0.478494623656
68,2012-08,186,140,3.04347826087
69,2012-07,46,-4,-0.08
70,2012-06,50,-68,-0.576271186441
71,2012-05,118,43,0.573333333333
72,2012-04,75,27,0.5625
73,2012-03,48,-50,-0.510204081633
74,2012-02,98,-105,-0.51724137931
75,2012-01,203,36,0.215568862275
76,2011-12,167,-80,-0.323886639676
77,2011-11,247,93,0.603896103896
78,2011-10,154,-2,-0.0128205128205
79,2011-09,156,105,2.05882352941
80,2011-08,51,41,4.1
81,2011-07,10,8,4.0
82,2011-06,2,-21,-0.913043478261
83,2011-05,23,-11,-0.323529411765
84,2011-04,34,12,0.545454545455
85,2011-03,22,-10,-0.3125
86,2011-02,32,-12,-0.272727272727
87,2011-01,44,-51,-0.536842105263
88,2010-12,95,26,0.376811594203
89,2010-11,69,44,1.76
90,2010-10,25,13,1.08333333333
91,2010-09,12,-6,-0.333333333333
92,2010-08,18,-44,-0.709677419355
93,2010-07,62,-36,-0.367346938776
94,2010-06,98,76,3.45454545455
95,2010-05,22,-4,-0.153846153846
96,2010-04,26,2,0.0833333333333
97,2010-03,24,-40,-0.625
98,2010-02,64,-15,-0.189873417722
99,2010-01,79,41,1.07894736842
100,2009-12,38,-37,-0.493333333333
101,2009-11,75,67,8.375
102,2009-10,8,-64,-0.888888888889
103,2009-09,72,2,0.0285714285714
104,2009-08,70,67,22.3333333333
105,2009-07,3,-29,-0.90625
106,2009-06,32,-97,-0.751937984496
107,2009-05,129,44,0.517647058824
108,2009-04,85,69,4.3125
109,2009-03,16,-4,-0.2
110,2009-02,20,-9,-0.310344827586
111,2009-01,29,19,1.9
112,2008-12,10,-92,-0.901960784314
113,2008-11,102,10,0.108695652174
114,2008-10,92,53,1.35897435897
115,2008-09,39,31,3.875
116,2008-08,8,-21,-0.724137931034
117,2008-07,29,-1,-0.0333333333333
118,2008-06,30,-128,-0.810126582278
119,2008-05,158,65,0.698924731183
120,2008-04,93,25,0.367647058824
121,2008-03,68,31,0.837837837838
122,2008-02,37,-17,-0.314814814815
123,2008-01,54,-16,-0.228571428571
124,2007-12,70,-90,-0.5625
125,2007-11,160,-20,-0.111111111111
126,2007-10,180,33,0.224489795918
127,2007-09,147,88,1.49152542373
128,2007-08,59,1,0.0172413793103
129,2007-07,58,-36,-0.382978723404
130,2007-06,94,4,0.0444444444444
131,2007-05,90,25,0.384615384615
132,2007-04,65,-109,-0.626436781609
133,2007-03,174,60,0.526315789474
134,2007-02,114,46,0.676470588235
135,2007-01,68,49,2.57894736842
136,2006-12,19,14,2.8
137,2006-11,5,-20,-0.8
138,2006-10,25,3,0.136363636364
139,2006-09,22,13,1.44444444444
140,2006-08,9,-58,-0.865671641791
141,2006-06,67,-89,-0.570512820513
142,2006-05,156,-73,-0.318777292576
143,2006-04,229,48,0.265193370166
144,2006-03,181,132,2.69387755102
145,2006-02,49,-10,-0.169491525424
