,date,nums,increment,ratio
0,2018,377,-1273,-0.771515151515
1,2017,1650,-136,-0.0761478163494
2,2016,1786,942,1.11611374408
3,2015,844,324,0.623076923077
4,2014,520,-486,-0.48310139165
5,2013,1006,-317,-0.239606953893
6,2012,1323,381,0.404458598726
7,2011,942,348,0.585858585859
8,2010,594,17,0.0294627383016
9,2009,577,-143,-0.198611111111
10,2008,720,-559,-0.437060203284
11,2007,1279,458,0.557856272838
12,2006,821,-68,-0.0764904386952
13,2005,889,94,0.118238993711
14,2004,795,-153,-0.161392405063
15,2003,948,748,3.74
16,2002,200,66,0.492537313433
17,2001,134,90,2.04545454545
18,2000,44,34,3.4
19,1999,10,-2,-0.166666666667
20,1998,12,0,0.0
