,date,nums,increment,ratio
0,2018-04,23,1,0.0454545454545
1,2018-03,22,8,0.571428571429
2,2018-02,14,-10,-0.416666666667
3,2018-01,24,5,0.263157894737
4,2017-12,19,-17,-0.472222222222
5,2017-11,36,16,0.8
6,2017-10,20,2,0.111111111111
7,2017-09,18,-4,-0.181818181818
8,2017-08,22,0,0.0
9,2017-07,22,-2,-0.0833333333333
10,2017-06,24,-3,-0.111111111111
11,2017-05,27,7,0.35
12,2017-04,20,-5,-0.2
13,2017-03,25,12,0.923076923077
14,2017-02,13,-1,-0.0714285714286
15,2017-01,14,-9,-0.391304347826
16,2016-12,23,1,0.0454545454545
17,2016-11,22,7,0.466666666667
18,2016-10,15,-1,-0.0625
19,2016-09,16,-12,-0.428571428571
20,2016-08,28,4,0.166666666667
21,2016-07,24,-2,-0.0769230769231
22,2016-06,26,10,0.625
23,2016-05,16,4,0.333333333333
24,2016-04,12,-4,-0.25
25,2016-03,16,9,1.28571428571
26,2016-02,7,-8,-0.533333333333
27,2016-01,15,8,1.14285714286
28,2015-12,7,-5,-0.416666666667
29,2015-11,12,1,0.0909090909091
30,2015-10,11,4,0.571428571429
31,2015-09,7,-6,-0.461538461538
32,2015-08,13,6,0.857142857143
33,2015-07,7,1,0.166666666667
34,2015-06,6,-2,-0.25
35,2015-05,8,3,0.6
36,2015-04,5,-2,-0.285714285714
37,2015-03,7,4,1.33333333333
38,2015-02,3,-5,-0.625
39,2015-01,8,6,3.0
40,2014-12,2,-3,-0.6
41,2014-11,5,0,0.0
42,2014-10,5,2,0.666666666667
43,2014-09,3,2,2.0
44,2014-08,1,-1,-0.5
45,2014-07,2,-3,-0.6
46,2014-06,5,1,0.25
47,2014-05,4,-2,-0.333333333333
48,2014-04,6,1,0.2
49,2014-03,5,1,0.25
50,2014-02,4,3,3.0
51,2014-01,1,-1,-0.5
52,2013-12,2,1,1.0
53,2013-11,1,-1,-0.5
54,2013-10,2,1,1.0
55,2013-09,1,-1,-0.5
56,2013-08,2,0,0.0
57,2013-04,2,1,1.0
58,2013-03,1,-3,-0.75
59,2013-02,4,3,3.0
60,2012-11,1,-2,-0.666666666667
61,2012-10,3,2,2.0
62,2012-09,1,0,0.0
63,2012-07,1,0,0.0
64,2012-06,1,0,0.0
65,2011-05,1,0,0.0
66,2011-04,1,0,0.0
67,2010-11,1,0,0.0
68,2010-10,1,0,0.0
