,date,nums,increment,ratio
0,2018-04,1,-2,-0.666666666667
1,2018-03,3,-1,-0.25
2,2018-02,4,-1,-0.2
3,2018-01,5,-18,-0.782608695652
4,2017-12,23,-4,-0.148148148148
5,2017-11,27,21,3.5
6,2017-10,6,-1,-0.142857142857
7,2017-09,7,3,0.75
8,2017-08,4,2,1.0
9,2017-07,2,1,1.0
10,2017-06,1,-2,-0.666666666667
11,2017-05,3,-4,-0.571428571429
12,2017-04,7,-3,-0.3
13,2017-03,10,-7,-0.411764705882
14,2017-02,17,1,0.0625
15,2017-01,16,7,0.777777777778
16,2016-12,9,7,3.5
17,2016-11,2,-1,-0.333333333333
18,2016-10,3,0,0.0
19,2016-09,3,-4,-0.571428571429
20,2016-08,7,-1,-0.125
21,2016-07,8,5,1.66666666667
22,2016-06,3,2,2.0
23,2016-05,1,-33,-0.970588235294
24,2016-04,34,4,0.133333333333
25,2016-03,30,-18,-0.375
26,2016-02,48,16,0.5
27,2016-01,32,-3,-0.0857142857143
28,2015-12,35,34,34.0
29,2015-11,1,0,0.0
30,2015-10,1,0,0.0
31,2015-08,1,0,0.0
32,2015-07,1,-3,-0.75
33,2015-06,4,-1,-0.2
34,2015-05,5,4,4.0
35,2015-04,1,0,0.0
36,2015-03,1,-1,-0.5
37,2015-01,2,0,0.0
38,2014-12,2,1,1.0
39,2014-09,1,0,0.0
40,2014-08,1,-2,-0.666666666667
41,2014-05,3,1,0.5
42,2014-04,2,1,1.0
43,2013-03,1,0,0.0
44,2012-01,1,0,0.0
45,2011-05,1,0,0.0
