,date,nums,increment,ratio
0,2018-04,70,-30,-0.3
1,2018-03,100,39,0.639344262295
2,2018-02,61,-23,-0.27380952381
3,2018-01,84,18,0.272727272727
4,2017-12,66,1,0.0153846153846
5,2017-11,65,1,0.015625
6,2017-10,64,6,0.103448275862
7,2017-09,58,-10,-0.147058823529
8,2017-08,68,-10,-0.128205128205
9,2017-07,78,30,0.625
10,2017-06,48,-22,-0.314285714286
11,2017-05,70,12,0.206896551724
12,2017-04,58,-9,-0.134328358209
13,2017-03,67,26,0.634146341463
14,2017-02,41,-8,-0.163265306122
15,2017-01,49,0,0.0
16,2016-12,49,-16,-0.246153846154
17,2016-11,65,12,0.22641509434
18,2016-10,53,18,0.514285714286
19,2016-09,35,-18,-0.339622641509
20,2016-08,53,14,0.358974358974
21,2016-07,39,-9,-0.1875
22,2016-06,48,18,0.6
23,2016-05,30,11,0.578947368421
24,2016-04,19,-7,-0.269230769231
25,2016-03,26,16,1.6
26,2016-02,10,-15,-0.6
27,2016-01,25,2,0.0869565217391
28,2015-12,23,11,0.916666666667
29,2015-11,12,-3,-0.2
30,2015-10,15,0,0.0
31,2015-09,15,1,0.0714285714286
32,2015-08,14,4,0.4
33,2015-07,10,-5,-0.333333333333
34,2015-06,15,8,1.14285714286
35,2015-05,7,-2,-0.222222222222
36,2015-04,9,-5,-0.357142857143
37,2015-03,14,4,0.4
38,2015-02,10,3,0.428571428571
39,2015-01,7,-1,-0.125
40,2014-12,8,-2,-0.2
41,2014-11,10,3,0.428571428571
42,2014-10,7,3,0.75
43,2014-09,4,-4,-0.5
44,2014-08,8,1,0.142857142857
45,2014-07,7,4,1.33333333333
46,2014-06,3,-4,-0.571428571429
47,2014-05,7,3,0.75
48,2014-04,4,-8,-0.666666666667
49,2014-03,12,8,2.0
50,2014-02,4,0,0.0
51,2014-01,4,3,3.0
52,2013-12,1,-2,-0.666666666667
53,2013-11,3,1,0.5
54,2013-10,2,1,1.0
55,2013-09,1,-4,-0.8
56,2013-08,5,2,0.666666666667
57,2013-07,3,2,2.0
58,2013-06,1,0,0.0
59,2013-05,1,-2,-0.666666666667
60,2013-04,3,2,2.0
61,2013-03,1,-1,-0.5
62,2013-02,2,1,1.0
63,2012-10,1,0,0.0
64,2012-09,1,0,0.0
65,2012-07,1,0,0.0
66,2012-06,1,0,0.0
67,2012-05,1,-1,-0.5
68,2012-03,2,0,0.0
69,2012-02,2,1,1.0
70,2012-01,1,-3,-0.75
71,2011-12,4,3,3.0
72,2011-11,1,-1,-0.5
73,2011-10,2,1,1.0
74,2011-08,1,-2,-0.666666666667
75,2011-05,3,0,0.0
76,2011-04,3,2,2.0
77,2011-03,1,0,0.0
78,2011-02,1,0,0.0
79,2010-12,1,0,0.0
80,2010-11,1,-2,-0.666666666667
81,2010-09,3,2,2.0
82,2010-06,1,-7,-0.875
83,2010-05,8,0,0.0
