,date,nums,increment,ratio
0,2018-03,12,6,1.0
1,2018-01,6,3,1.0
2,2017-12,3,-4,-0.571428571429
3,2017-11,7,-11,-0.611111111111
4,2017-10,18,8,0.8
5,2017-09,10,7,2.33333333333
6,2017-08,3,1,0.5
7,2017-07,2,-8,-0.8
8,2017-06,10,1,0.111111111111
9,2017-05,9,7,3.5
10,2017-04,2,-9,-0.818181818182
11,2017-03,11,8,2.66666666667
12,2017-01,3,0,0.0
13,2016-12,3,2,2.0
14,2016-11,1,-11,-0.916666666667
15,2016-10,12,9,3.0
16,2016-09,3,2,2.0
17,2016-08,1,-5,-0.833333333333
18,2016-07,6,4,2.0
19,2016-06,2,-1,-0.333333333333
20,2016-04,3,-7,-0.7
21,2016-03,10,3,0.428571428571
22,2016-02,7,6,6.0
23,2016-01,1,-7,-0.875
24,2015-11,8,6,3.0
25,2015-10,2,-3,-0.6
26,2015-09,5,1,0.25
27,2015-06,4,-1,-0.2
28,2015-01,5,3,1.5
29,2014-03,2,1,1.0
30,2013-05,1,0,0.0
31,2012-09,1,0,0.0
