,date,nums,increment,ratio
0,2018-05,3,-142,-0.979310344828
1,2018-04,145,-30,-0.171428571429
2,2018-03,175,47,0.3671875
3,2018-02,128,-4,-0.030303030303
4,2018-01,132,42,0.466666666667
5,2017-12,90,-24,-0.210526315789
6,2017-11,114,-53,-0.317365269461
7,2017-10,167,-56,-0.251121076233
8,2017-09,223,50,0.28901734104
9,2017-08,173,43,0.330769230769
10,2017-07,130,-158,-0.548611111111
11,2017-06,288,54,0.230769230769
12,2017-05,234,66,0.392857142857
13,2017-04,168,1,0.0059880239521
14,2017-03,167,27,0.192857142857
15,2017-02,140,-39,-0.217877094972
16,2017-01,179,78,0.772277227723
17,2016-12,101,-14,-0.121739130435
18,2016-11,115,-20,-0.148148148148
19,2016-10,135,-2,-0.014598540146
20,2016-09,137,19,0.161016949153
21,2016-08,118,4,0.0350877192982
22,2016-07,114,-10,-0.0806451612903
23,2016-06,124,-27,-0.17880794702
24,2016-05,151,20,0.152671755725
25,2016-04,131,-52,-0.284153005464
26,2016-03,183,37,0.253424657534
27,2016-02,146,26,0.216666666667
28,2016-01,120,3,0.025641025641
29,2015-12,117,-89,-0.432038834951
30,2015-11,206,74,0.560606060606
31,2015-10,132,47,0.552941176471
32,2015-09,85,6,0.0759493670886
33,2015-08,79,48,1.54838709677
34,2015-07,31,27,6.75
35,2015-06,4,-4,-0.5
36,2015-05,8,2,0.333333333333
37,2015-04,6,3,1.0
38,2015-03,3,-5,-0.625
39,2015-02,8,6,3.0
40,2015-01,2,-2,-0.5
41,2014-12,4,3,3.0
42,2014-11,1,-1,-0.5
43,2014-10,2,0,0.0
44,2014-09,2,0,0.0
45,2014-08,2,-2,-0.5
46,2014-07,4,-1,-0.2
47,2014-04,5,3,1.5
48,2014-03,2,-2,-0.5
49,2014-02,4,1,0.333333333333
50,2014-01,3,2,2.0
51,2013-12,1,0,0.0
52,2013-11,1,0,0.0
53,2013-09,1,0,0.0
54,2013-08,1,-1,-0.5
55,2013-07,2,1,1.0
56,2013-06,1,0,0.0
57,2013-04,1,0,0.0
58,2013-03,1,0,0.0
59,2013-01,1,0,0.0
60,2012-08,1,0,0.0
