,date,nums,increment,ratio
0,2015-06,1,-2,-0.666666666667
1,2014-02,3,1,0.5
2,2013-05,2,-1,-0.333333333333
3,2013-04,3,-58,-0.950819672131
4,2012-05,61,57,14.25
5,2012-04,4,0,0.0
6,2012-01,4,3,3.0
7,2011-12,1,-1,-0.5
8,2011-09,2,-2,-0.5
9,2011-08,4,2,1.0
10,2010-11,2,1,1.0
11,2010-10,1,0,0.0
12,2010-08,1,-8,-0.888888888889
13,2010-06,9,8,8.0
14,2010-05,1,-26,-0.962962962963
15,2010-03,27,11,0.6875
16,2010-02,16,14,7.0
17,2010-01,2,-2,-0.5
18,2009-11,4,-17,-0.809523809524
19,2009-10,21,20,20.0
20,2009-09,1,0,0.0
21,2009-08,1,-1,-0.5
22,2009-05,2,1,1.0
23,2009-02,1,-8,-0.888888888889
24,2009-01,9,1,0.125
25,2008-10,8,2,0.333333333333
26,2008-09,6,-27,-0.818181818182
27,2008-08,33,30,10.0
28,2008-07,3,2,2.0
29,2008-06,1,-2,-0.666666666667
30,2008-05,3,1,0.5
31,2008-03,2,-3,-0.6
32,2008-01,5,4,4.0
33,2007-11,1,-5,-0.833333333333
34,2007-10,6,-1,-0.142857142857
35,2007-09,7,-35,-0.833333333333
36,2007-08,42,33,3.66666666667
37,2007-07,9,-16,-0.64
38,2007-06,25,4,0.190476190476
39,2007-05,21,-12,-0.363636363636
40,2007-04,33,31,15.5
41,2007-03,2,-40,-0.952380952381
42,2007-02,42,15,0.555555555556
43,2007-01,27,21,3.5
44,2006-12,6,3,1.0
45,2006-11,3,-24,-0.888888888889
46,2006-09,27,-6,-0.181818181818
47,2006-08,33,27,4.5
48,2006-07,6,4,2.0
49,2006-05,2,-5,-0.714285714286
50,2006-04,7,-13,-0.65
51,2006-03,20,10,1.0
52,2006-02,10,-58,-0.852941176471
53,2006-01,68,38,1.26666666667
54,2005-12,30,27,9.0
55,2005-11,3,-4,-0.571428571429
56,2005-10,7,4,1.33333333333
57,2005-09,3,-27,-0.9
58,2005-08,30,-29,-0.491525423729
59,2005-07,59,32,1.18518518519
60,2005-06,27,-19,-0.413043478261
61,2005-05,46,25,1.19047619048
62,2005-04,21,15,2.5
63,2005-03,6,-39,-0.866666666667
64,2005-02,45,-68,-0.601769911504
65,2005-01,113,-53,-0.319277108434
66,2004-12,166,12,0.0779220779221
67,2004-11,154,137,8.05882352941
68,2004-10,17,-47,-0.734375
69,2004-09,64,43,2.04761904762
70,2004-08,21,-5,-0.192307692308
71,2004-07,26,-25,-0.490196078431
72,2004-06,51,-120,-0.701754385965
73,2004-05,171,113,1.94827586207
74,2004-04,58,16,0.380952380952
75,2004-03,42,32,3.2
76,2004-02,10,-24,-0.705882352941
77,2004-01,34,-135,-0.798816568047
78,2003-12,169,161,20.125
79,2003-11,8,-30,-0.789473684211
80,2003-10,38,-146,-0.79347826087
81,2003-09,184,162,7.36363636364
82,2003-08,22,8,0.571428571429
83,2003-07,14,-40,-0.740740740741
84,2003-06,54,19,0.542857142857
85,2003-05,35,28,4.0
86,2003-04,7,-31,-0.815789473684
87,2003-03,38,-3,-0.0731707317073
88,2003-02,41,37,9.25
89,2003-01,4,-29,-0.878787878788
90,2002-12,33,18,1.2
91,2002-11,15,-14,-0.48275862069
92,2002-10,29,26,8.66666666667
93,2002-09,3,-3,-0.5
94,2002-08,6,-10,-0.625
95,2002-07,16,-28,-0.636363636364
96,2002-06,44,-13,-0.228070175439
97,2002-05,57,1,0.0178571428571
98,2002-04,56,31,1.24
99,2002-03,25,-6,-0.193548387097
100,2002-02,31,15,0.9375
101,2002-01,16,14,7.0
102,2001-12,2,-14,-0.875
103,2001-11,16,0,0.0
104,2001-10,16,-38,-0.703703703704
105,2001-09,54,23,0.741935483871
106,2001-08,31,1,0.0333333333333
107,2001-07,30,-15,-0.333333333333
108,2001-06,45,12,0.363636363636
109,2001-05,33,-33,-0.5
110,2001-04,66,39,1.44444444444
111,2001-03,27,-22,-0.448979591837
112,2001-02,49,-27,-0.355263157895
113,2001-01,76,38,1.0
114,2000-12,38,36,18.0
115,2000-11,2,0,0.0
