,date,nums,increment,ratio
0,2018-04,4,-2,-0.333333333333
1,2018-03,6,2,0.5
2,2018-02,4,-13,-0.764705882353
3,2018-01,17,14,4.66666666667
4,2017-12,3,-3,-0.5
5,2017-11,6,-1,-0.142857142857
6,2017-10,7,3,0.75
7,2017-09,4,-7,-0.636363636364
8,2017-08,11,7,1.75
9,2017-07,4,-6,-0.6
10,2017-06,10,6,1.5
11,2017-05,4,-4,-0.5
12,2017-04,8,5,1.66666666667
13,2017-03,3,-8,-0.727272727273
14,2017-02,11,6,1.2
15,2017-01,5,-5,-0.5
16,2016-12,10,2,0.25
17,2016-11,8,-2,-0.2
18,2016-10,10,2,0.25
19,2016-09,8,-10,-0.555555555556
20,2016-08,18,5,0.384615384615
21,2016-07,13,-1,-0.0714285714286
22,2016-06,14,-1,-0.0666666666667
23,2016-05,15,3,0.25
24,2016-04,12,8,2.0
25,2016-03,4,-2,-0.333333333333
26,2016-02,6,-2,-0.25
27,2016-01,8,1,0.142857142857
28,2015-12,7,-1,-0.125
29,2015-11,8,0,0.0
30,2015-10,8,3,0.6
31,2015-09,5,-2,-0.285714285714
32,2015-08,7,2,0.4
33,2015-07,5,-1,-0.166666666667
34,2015-06,6,2,0.5
35,2015-05,4,-2,-0.333333333333
36,2015-04,6,-2,-0.25
37,2015-03,8,7,7.0
38,2015-02,1,-8,-0.888888888889
39,2015-01,9,7,3.5
40,2014-12,2,-5,-0.714285714286
41,2014-11,7,4,1.33333333333
42,2014-10,3,-1,-0.25
43,2014-09,4,2,1.0
44,2014-08,2,0,0.0
45,2014-06,2,-2,-0.5
46,2014-05,4,-1,-0.2
47,2014-03,5,2,0.666666666667
48,2014-02,3,0,0.0
49,2014-01,3,0,0.0
50,2013-12,3,2,2.0
51,2013-11,1,-1,-0.5
52,2013-10,2,0,0.0
53,2013-06,2,0,0.0
54,2013-05,2,1,1.0
55,2013-03,1,0,0.0
56,2013-02,1,0,0.0
57,2012-11,1,0,0.0
58,2012-06,1,0,0.0
59,2012-05,1,0,0.0
60,2012-02,1,0,0.0
61,2011-10,1,0,0.0
62,2011-07,1,0,0.0
63,2011-05,1,0,0.0
64,2010-04,1,0,0.0
