,date,nums,increment,ratio
0,2018,745,-1988,-0.727405781193
1,2017,2733,213,0.0845238095238
2,2016,2520,65,0.0264765784114
3,2015,2455,-213,-0.0798350824588
4,2014,2668,-156,-0.0552407932011
5,2013,2824,-1379,-0.328098976921
6,2012,4203,1614,0.623406720742
7,2011,2589,704,0.373474801061
8,2010,1885,-294,-0.134924277191
9,2009,2179,945,0.765802269044
10,2008,1234,-15,-0.0120096076861
11,2007,1249,493,0.652116402116
12,2006,756,272,0.561983471074
13,2005,484,-172,-0.262195121951
14,2004,656,376,1.34285714286
15,2003,280,-117,-0.294710327456
16,2002,397,331,5.01515151515
17,2001,66,0,0.0
