,date,nums,increment,ratio
0,2018-04,46,-7,-0.132075471698
1,2018-03,53,19,0.558823529412
2,2018-02,34,-7,-0.170731707317
3,2018-01,41,0,0.0
4,2017-12,41,2,0.0512820512821
5,2017-11,39,-11,-0.22
6,2017-10,50,8,0.190476190476
7,2017-09,42,-10,-0.192307692308
8,2017-08,52,5,0.106382978723
9,2017-07,47,-2,-0.0408163265306
10,2017-06,49,-3,-0.0576923076923
11,2017-05,52,0,0.0
12,2017-04,52,-11,-0.174603174603
13,2017-03,63,23,0.575
14,2017-02,40,0,0.0
15,2017-01,40,-12,-0.230769230769
16,2016-12,52,10,0.238095238095
17,2016-11,42,-3,-0.0666666666667
18,2016-10,45,-6,-0.117647058824
19,2016-09,51,5,0.108695652174
20,2016-08,46,1,0.0222222222222
21,2016-07,45,5,0.125
22,2016-06,40,-7,-0.148936170213
23,2016-05,47,0,0.0
24,2016-04,47,-10,-0.175438596491
25,2016-03,57,20,0.540540540541
26,2016-02,37,17,0.85
27,2016-01,20,0,0.0
