,date,nums,increment,ratio
0,2018-04,18,-1,-0.0526315789474
1,2018-03,19,5,0.357142857143
2,2018-02,14,-5,-0.263157894737
3,2018-01,19,1,0.0555555555556
4,2017-12,18,8,0.8
5,2017-11,10,-5,-0.333333333333
6,2017-10,15,1,0.0714285714286
7,2017-09,14,-3,-0.176470588235
8,2017-08,17,9,1.125
9,2017-07,8,2,0.333333333333
10,2017-06,6,-7,-0.538461538462
11,2017-05,13,-4,-0.235294117647
12,2017-04,17,0,0.0
13,2017-03,17,10,1.42857142857
14,2017-02,7,-15,-0.681818181818
15,2017-01,22,10,0.833333333333
16,2016-12,12,-2,-0.142857142857
17,2016-11,14,-7,-0.333333333333
18,2016-10,21,9,0.75
19,2016-09,12,-4,-0.25
20,2016-08,16,5,0.454545454545
21,2016-07,11,4,0.571428571429
22,2016-06,7,3,0.75
23,2016-05,4,-7,-0.636363636364
24,2016-04,11,4,0.571428571429
25,2016-03,7,-7,-0.5
26,2016-02,14,10,2.5
27,2016-01,4,0,0.0
