,date,nums,increment,ratio
0,2018-04,71,-5,-0.0657894736842
1,2018-03,76,16,0.266666666667
2,2018-02,60,-5,-0.0769230769231
3,2018-01,65,10,0.181818181818
4,2017-12,55,-13,-0.191176470588
5,2017-11,68,15,0.283018867925
6,2017-10,53,-26,-0.329113924051
7,2017-09,79,-6,-0.0705882352941
8,2017-08,85,27,0.465517241379
9,2017-07,58,5,0.0943396226415
10,2017-06,53,-3,-0.0535714285714
11,2017-05,56,-13,-0.188405797101
12,2017-04,69,8,0.131147540984
13,2017-03,61,10,0.196078431373
14,2017-02,51,4,0.0851063829787
15,2017-01,47,4,0.093023255814
16,2016-12,43,-5,-0.104166666667
17,2016-11,48,-5,-0.0943396226415
18,2016-10,53,-6,-0.101694915254
19,2016-09,59,7,0.134615384615
20,2016-08,52,3,0.0612244897959
21,2016-07,49,-1,-0.02
22,2016-06,50,2,0.0416666666667
23,2016-05,48,7,0.170731707317
24,2016-04,41,-18,-0.305084745763
25,2016-03,59,9,0.18
26,2016-02,50,34,2.125
27,2016-01,16,0,0.0
