,date,nums,increment,ratio
0,2018-04,3,-4,-0.571428571429
1,2018-03,7,-11,-0.611111111111
2,2018-02,18,8,0.8
3,2018-01,10,1,0.111111111111
4,2017-12,9,4,0.8
5,2017-11,5,-2,-0.285714285714
6,2017-10,7,1,0.166666666667
7,2017-09,6,-3,-0.333333333333
8,2017-08,9,7,3.5
9,2017-07,2,-2,-0.5
10,2017-06,4,-6,-0.6
11,2017-05,10,-3,-0.230769230769
12,2017-04,13,-28,-0.682926829268
13,2017-03,41,10,0.322580645161
14,2017-02,31,-29,-0.483333333333
15,2017-01,60,56,14.0
16,2015-11,4,-24,-0.857142857143
17,2015-10,28,0,0.0
18,2015-09,28,18,1.8
19,2015-08,10,-3,-0.230769230769
20,2015-07,13,6,0.857142857143
21,2015-06,7,2,0.4
22,2015-05,5,-10,-0.666666666667
23,2015-04,15,-14,-0.48275862069
24,2015-03,29,-2,-0.0645161290323
25,2015-02,31,8,0.347826086957
26,2015-01,23,-6,-0.206896551724
27,2014-12,29,-2,-0.0645161290323
28,2014-11,31,20,1.81818181818
29,2014-10,11,6,1.2
30,2014-09,5,-5,-0.5
31,2014-08,10,-2,-0.166666666667
32,2014-07,12,-15,-0.555555555556
33,2014-06,27,6,0.285714285714
34,2014-05,21,17,4.25
35,2014-04,4,-10,-0.714285714286
36,2014-03,14,-36,-0.72
37,2014-02,50,8,0.190476190476
38,2014-01,42,36,6.0
39,2013-12,6,2,0.5
40,2013-11,4,1,0.333333333333
41,2013-10,3,-13,-0.8125
42,2013-09,16,-8,-0.333333333333
43,2013-08,24,3,0.142857142857
44,2013-07,21,-3,-0.125
45,2013-06,24,-3,-0.111111111111
46,2013-05,27,23,5.75
47,2013-04,4,-28,-0.875
48,2013-03,32,2,0.0666666666667
49,2013-02,30,12,0.666666666667
50,2013-01,18,-42,-0.7
51,2012-12,60,-29,-0.325842696629
52,2012-11,89,55,1.61764705882
53,2012-10,34,16,0.888888888889
54,2012-09,18,6,0.5
55,2012-08,12,5,0.714285714286
56,2012-07,7,1,0.166666666667
57,2012-06,6,-9,-0.6
58,2012-05,15,9,1.5
59,2012-04,6,1,0.2
60,2012-03,5,0,0.0
61,2012-02,5,-5,-0.5
62,2012-01,10,-33,-0.767441860465
63,2011-12,43,25,1.38888888889
64,2011-11,18,-4,-0.181818181818
65,2011-10,22,-30,-0.576923076923
66,2011-09,52,35,2.05882352941
67,2011-08,17,-4,-0.190476190476
68,2011-07,21,9,0.75
69,2011-06,12,8,2.0
70,2011-05,4,2,1.0
71,2011-04,2,-3,-0.6
