,date,nums,increment,ratio
0,2018-04,23,-11,-0.323529411765
1,2018-03,34,8,0.307692307692
2,2018-02,26,3,0.130434782609
3,2018-01,23,1,0.0454545454545
4,2017-12,22,0,0.0
5,2017-11,22,-3,-0.12
6,2017-10,25,0,0.0
7,2017-09,25,-5,-0.166666666667
8,2017-08,30,-4,-0.117647058824
9,2017-07,34,13,0.619047619048
10,2017-06,21,-5,-0.192307692308
11,2017-05,26,10,0.625
12,2017-04,16,-9,-0.36
13,2017-03,25,-6,-0.193548387097
14,2017-02,31,14,0.823529411765
15,2017-01,17,1,0.0625
16,2016-12,16,-10,-0.384615384615
17,2016-11,26,12,0.857142857143
18,2016-10,14,-10,-0.416666666667
19,2016-09,24,1,0.0434782608696
20,2016-08,23,2,0.0952380952381
21,2016-07,21,2,0.105263157895
22,2016-06,19,2,0.117647058824
23,2016-05,17,3,0.214285714286
24,2016-04,14,-2,-0.125
25,2016-03,16,0,0.0
26,2016-02,16,5,0.454545454545
27,2016-01,11,-5,-0.3125
28,2015-12,16,6,0.6
29,2015-11,10,-3,-0.230769230769
30,2015-10,13,3,0.3
31,2015-09,10,2,0.25
32,2015-08,8,-2,-0.2
33,2015-07,10,4,0.666666666667
34,2015-06,6,-10,-0.625
35,2015-05,16,3,0.230769230769
36,2015-04,13,6,0.857142857143
37,2015-03,7,0,0.0
38,2015-02,7,1,0.166666666667
39,2015-01,6,-3,-0.333333333333
40,2014-12,9,3,0.5
41,2014-11,6,1,0.2
42,2014-10,5,-3,-0.375
43,2014-09,8,4,1.0
44,2014-08,4,-1,-0.2
45,2014-07,5,0,0.0
46,2014-06,5,-2,-0.285714285714
47,2014-05,7,4,1.33333333333
48,2014-04,3,-2,-0.4
49,2014-03,5,-8,-0.615384615385
50,2014-02,13,12,12.0
51,2014-01,1,-2,-0.666666666667
52,2013-12,3,-1,-0.25
53,2013-11,4,2,1.0
54,2013-10,2,1,1.0
55,2013-09,1,-1,-0.5
56,2013-07,2,-2,-0.5
57,2013-06,4,2,1.0
58,2013-05,2,-2,-0.5
59,2013-04,4,1,0.333333333333
60,2013-03,3,2,2.0
61,2013-02,1,0,0.0
62,2012-06,1,0,0.0
