,date,nums,increment,ratio
0,2018-04,7,-7,-0.5
1,2018-03,14,2,0.166666666667
2,2018-02,12,-3,-0.2
3,2018-01,15,7,0.875
4,2017-12,8,-19,-0.703703703704
5,2017-11,27,9,0.5
6,2017-10,18,3,0.2
7,2017-09,15,-5,-0.25
8,2017-08,20,3,0.176470588235
9,2017-07,17,-11,-0.392857142857
10,2017-06,28,11,0.647058823529
11,2017-05,17,1,0.0625
12,2017-04,16,-9,-0.36
13,2017-03,25,10,0.666666666667
14,2017-02,15,-4,-0.210526315789
15,2017-01,19,14,2.8
16,2016-12,5,-14,-0.736842105263
17,2016-11,19,8,0.727272727273
18,2016-10,11,-32,-0.744186046512
19,2016-09,43,14,0.48275862069
20,2016-08,29,15,1.07142857143
21,2016-07,14,-7,-0.333333333333
22,2016-06,21,5,0.3125
23,2016-05,16,9,1.28571428571
24,2016-04,7,-2,-0.222222222222
25,2016-03,9,4,0.8
26,2016-02,5,-18,-0.782608695652
27,2016-01,23,15,1.875
28,2015-12,8,4,1.0
29,2015-11,4,-11,-0.733333333333
30,2015-10,15,0,0.0
31,2015-09,15,5,0.5
32,2015-08,10,-5,-0.333333333333
33,2015-07,15,1,0.0714285714286
34,2015-06,14,4,0.4
35,2015-05,10,-19,-0.655172413793
36,2015-04,29,6,0.260869565217
37,2015-03,23,4,0.210526315789
38,2015-02,19,1,0.0555555555556
39,2015-01,18,6,0.5
40,2014-12,12,-7,-0.368421052632
41,2014-11,19,-6,-0.24
42,2014-10,25,0,0.0
43,2014-09,25,11,0.785714285714
44,2014-08,14,-9,-0.391304347826
45,2014-07,23,-4,-0.148148148148
46,2014-06,27,-1,-0.0357142857143
47,2014-05,28,4,0.166666666667
48,2014-04,24,-9,-0.272727272727
49,2014-03,33,19,1.35714285714
50,2014-02,14,-12,-0.461538461538
51,2014-01,26,10,0.625
52,2013-12,16,-3,-0.157894736842
53,2013-11,19,-7,-0.269230769231
54,2013-10,26,-8,-0.235294117647
55,2013-09,34,11,0.478260869565
56,2013-08,23,-1,-0.0416666666667
57,2013-07,24,-14,-0.368421052632
58,2013-06,38,-1,-0.025641025641
59,2013-05,39,6,0.181818181818
60,2013-04,33,2,0.0645161290323
61,2013-03,31,5,0.192307692308
62,2013-02,26,1,0.04
63,2013-01,25,-6,-0.193548387097
64,2012-12,31,6,0.24
65,2012-11,25,-11,-0.305555555556
66,2012-10,36,11,0.44
67,2012-09,25,-36,-0.590163934426
68,2012-08,61,32,1.10344827586
69,2012-07,29,-3,-0.09375
70,2012-06,32,1,0.0322580645161
71,2012-05,31,11,0.55
72,2012-04,20,-37,-0.649122807018
73,2012-03,57,27,0.9
74,2012-02,30,20,2.0
75,2012-01,10,-9,-0.473684210526
76,2011-12,19,2,0.117647058824
77,2011-11,17,-12,-0.413793103448
78,2011-10,29,-344,-0.922252010724
79,2011-09,373,372,372.0
80,2011-08,1,0,0.0
