,date,nums,increment,ratio
0,2018-04,9,6,2.0
1,2018-03,3,-2,-0.4
2,2018-02,5,-3,-0.375
3,2018-01,8,4,1.0
4,2017-12,4,-5,-0.555555555556
5,2017-11,9,7,3.5
6,2017-10,2,-6,-0.75
7,2017-09,8,-2,-0.2
8,2017-08,10,3,0.428571428571
9,2017-07,7,0,0.0
10,2017-06,7,0,0.0
11,2017-05,7,-1,-0.125
12,2017-04,8,2,0.333333333333
13,2017-03,6,0,0.0
14,2017-02,6,-4,-0.4
15,2017-01,10,0,0.0
16,2016-12,10,4,0.666666666667
17,2016-11,6,-2,-0.25
18,2016-10,8,5,1.66666666667
19,2016-09,3,-2,-0.4
20,2016-08,5,-4,-0.444444444444
21,2016-07,9,0,0.0
22,2016-06,9,-8,-0.470588235294
23,2016-05,17,10,1.42857142857
24,2016-04,7,0,0.0
25,2016-03,7,5,2.5
26,2016-02,2,-3,-0.6
27,2016-01,5,2,0.666666666667
28,2015-12,3,-4,-0.571428571429
29,2015-11,7,1,0.166666666667
30,2015-10,6,4,2.0
31,2015-09,2,-4,-0.666666666667
32,2015-08,6,2,0.5
33,2015-07,4,-6,-0.6
34,2015-06,10,4,0.666666666667
35,2015-05,6,4,2.0
36,2015-04,2,-2,-0.5
37,2015-03,4,2,1.0
38,2015-02,2,-2,-0.5
39,2015-01,4,-1,-0.2
40,2014-12,5,2,0.666666666667
41,2014-11,3,1,0.5
42,2014-10,2,-3,-0.6
43,2014-09,5,1,0.25
44,2014-08,4,2,1.0
45,2014-07,2,1,1.0
46,2014-06,1,-2,-0.666666666667
47,2014-05,3,1,0.5
48,2014-04,2,0,0.0
49,2014-03,2,0,0.0
50,2014-02,2,0,0.0
51,2014-01,2,-1,-0.333333333333
52,2013-11,3,2,2.0
53,2013-10,1,-1,-0.5
54,2013-08,2,1,1.0
55,2013-07,1,0,0.0
56,2013-04,1,-3,-0.75
57,2013-03,4,3,3.0
58,2013-02,1,-1,-0.5
59,2013-01,2,0,0.0
60,2012-12,2,0,0.0
61,2012-10,2,0,0.0
62,2012-08,2,0,0.0
63,2012-07,2,1,1.0
64,2012-05,1,-1,-0.5
65,2012-04,2,1,1.0
66,2012-03,1,-1,-0.5
67,2012-02,2,0,0.0
68,2011-09,2,0,0.0
