,date,nums,increment,ratio
0,2018-04,9,1,0.125
1,2018-03,8,-3,-0.272727272727
2,2018-02,11,4,0.571428571429
3,2018-01,7,0,0.0
4,2017-12,7,-1,-0.125
5,2017-11,8,2,0.333333333333
6,2017-10,6,-5,-0.454545454545
7,2017-09,11,2,0.222222222222
8,2017-08,9,2,0.285714285714
9,2017-07,7,-1,-0.125
10,2017-06,8,-1,-0.111111111111
11,2017-05,9,-4,-0.307692307692
12,2017-04,13,4,0.444444444444
13,2017-03,9,-3,-0.25
14,2017-02,12,5,0.714285714286
15,2017-01,7,-1,-0.125
16,2016-12,8,4,1.0
17,2016-11,4,-4,-0.5
18,2016-10,8,3,0.6
19,2016-09,5,-3,-0.375
20,2016-08,8,1,0.142857142857
21,2016-07,7,-2,-0.222222222222
22,2016-06,9,4,0.8
23,2016-05,5,0,0.0
24,2016-04,5,-1,-0.166666666667
25,2016-03,6,-2,-0.25
26,2016-02,8,3,0.6
27,2016-01,5,-2,-0.285714285714
28,2015-12,7,-2,-0.222222222222
29,2015-11,9,4,0.8
30,2015-10,5,-4,-0.444444444444
31,2015-09,9,7,3.5
32,2015-08,2,-4,-0.666666666667
33,2015-07,6,1,0.2
34,2015-06,5,2,0.666666666667
35,2015-05,3,-1,-0.25
36,2015-04,4,-1,-0.2
37,2015-03,5,-1,-0.166666666667
38,2015-02,6,4,2.0
39,2015-01,2,-1,-0.333333333333
40,2014-12,3,-5,-0.625
41,2014-11,8,5,1.66666666667
42,2014-10,3,-1,-0.25
43,2014-09,4,0,0.0
44,2014-08,4,0,0.0
45,2014-07,4,3,3.0
46,2014-06,1,0,0.0
47,2014-05,1,-2,-0.666666666667
48,2014-04,3,0,0.0
49,2014-03,3,1,0.5
50,2014-02,2,-3,-0.6
51,2014-01,5,3,1.5
52,2013-12,2,1,1.0
53,2013-11,1,0,0.0
54,2013-10,1,0,0.0
55,2013-08,1,0,0.0
56,2013-07,1,-2,-0.666666666667
57,2013-05,3,2,2.0
58,2013-04,1,0,0.0
59,2013-03,1,-2,-0.666666666667
60,2013-02,3,1,0.5
61,2012-06,2,-1,-0.333333333333
62,2012-04,3,1,0.5
63,2012-03,2,0,0.0
64,2012-02,2,1,1.0
65,2012-01,1,-2,-0.666666666667
66,2011-11,3,-25,-0.892857142857
67,2011-09,28,0,0.0
