,date,nums,increment,ratio
0,2018-03,1,-3,-0.75
1,2018-02,4,-14,-0.777777777778
2,2018-01,18,10,1.25
3,2017-12,8,-4,-0.333333333333
4,2017-11,12,11,11.0
5,2017-10,1,-9,-0.9
6,2017-09,10,3,0.428571428571
7,2017-08,7,-18,-0.72
8,2017-07,25,20,4.0
9,2017-06,5,-7,-0.583333333333
10,2017-05,12,7,1.4
11,2017-04,5,0,0.0
12,2017-03,5,-18,-0.782608695652
13,2017-02,23,20,6.66666666667
14,2017-01,3,-5,-0.625
15,2016-12,8,-5,-0.384615384615
16,2016-11,13,-17,-0.566666666667
17,2016-10,30,4,0.153846153846
18,2016-09,26,1,0.04
19,2016-08,25,14,1.27272727273
20,2016-07,11,-6,-0.352941176471
21,2016-06,17,0,0.0
22,2016-05,17,-90,-0.841121495327
23,2016-04,107,79,2.82142857143
24,2016-03,28,1,0.037037037037
25,2016-02,27,9,0.5
26,2016-01,18,2,0.125
27,2015-12,16,-5,-0.238095238095
28,2015-11,21,20,20.0
29,2015-10,1,-21,-0.954545454545
30,2015-09,22,5,0.294117647059
31,2015-08,17,-35,-0.673076923077
32,2015-07,52,26,1.0
33,2015-06,26,-19,-0.422222222222
34,2015-05,45,22,0.95652173913
35,2015-04,23,7,0.4375
36,2015-03,16,-13,-0.448275862069
37,2015-02,29,26,8.66666666667
38,2015-01,3,-14,-0.823529411765
39,2014-12,17,-8,-0.32
40,2014-11,25,10,0.666666666667
41,2014-10,15,10,2.0
42,2014-09,5,-28,-0.848484848485
43,2014-08,33,29,7.25
44,2014-07,4,-11,-0.733333333333
45,2014-06,15,-5,-0.25
46,2014-05,20,2,0.111111111111
47,2014-04,18,9,1.0
48,2014-03,9,0,0.0
