,date,nums,increment,ratio
0,2018-04,292,-93,-0.241558441558
1,2018-03,385,117,0.436567164179
2,2018-02,268,-109,-0.289124668435
3,2018-01,377,19,0.0530726256983
4,2017-12,358,0,0.0
5,2017-11,358,24,0.0718562874251
6,2017-10,334,8,0.0245398773006
7,2017-09,326,-27,-0.0764872521246
8,2017-08,353,-14,-0.0381471389646
9,2017-07,367,-10,-0.026525198939
10,2017-06,377,-15,-0.0382653061224
11,2017-05,392,33,0.091922005571
12,2017-04,359,-79,-0.180365296804
13,2017-03,438,103,0.307462686567
14,2017-02,335,58,0.209386281588
15,2017-01,277,-105,-0.274869109948
16,2016-12,382,26,0.0730337078652
17,2016-11,356,24,0.0722891566265
18,2016-10,332,3,0.00911854103343
19,2016-09,329,-64,-0.162849872774
20,2016-08,393,60,0.18018018018
21,2016-07,333,-5,-0.0147928994083
22,2016-06,338,-34,-0.0913978494624
23,2016-05,372,17,0.0478873239437
24,2016-04,355,-47,-0.116915422886
25,2016-03,402,129,0.472527472527
26,2016-02,273,-83,-0.233146067416
27,2016-01,356,49,0.159609120521
28,2015-12,307,-6,-0.0191693290735
29,2015-11,313,-19,-0.0572289156627
30,2015-10,332,14,0.0440251572327
31,2015-09,318,22,0.0743243243243
32,2015-08,296,-59,-0.166197183099
33,2015-07,355,27,0.0823170731707
34,2015-06,328,63,0.237735849057
35,2015-05,265,-24,-0.083044982699
36,2015-04,289,-8,-0.026936026936
37,2015-03,297,92,0.448780487805
38,2015-02,205,1,0.00490196078431
39,2015-01,204,10,0.0515463917526
40,2014-12,194,-12,-0.0582524271845
41,2014-11,206,1,0.00487804878049
42,2014-10,205,46,0.289308176101
43,2014-09,159,-29,-0.154255319149
44,2014-08,188,17,0.0994152046784
45,2014-07,171,31,0.221428571429
46,2014-06,140,12,0.09375
47,2014-05,128,0,0.0
48,2014-04,128,31,0.319587628866
49,2014-03,97,62,1.77142857143
50,2014-02,35,0,0.0
