,date,nums,increment,ratio
0,2018-05,9,-237,-0.963414634146
1,2018-04,246,-11,-0.0428015564202
2,2018-03,257,22,0.0936170212766
3,2018-02,235,-95,-0.287878787879
4,2018-01,330,54,0.195652173913
5,2017-12,276,44,0.189655172414
6,2017-11,232,11,0.0497737556561
7,2017-10,221,-81,-0.26821192053
8,2017-09,302,-9,-0.0289389067524
9,2017-08,311,15,0.0506756756757
10,2017-07,296,-29,-0.0892307692308
11,2017-06,325,-30,-0.0845070422535
12,2017-05,355,41,0.130573248408
13,2017-04,314,-79,-0.201017811705
14,2017-03,393,46,0.132564841499
15,2017-02,347,32,0.101587301587
16,2017-01,315,-40,-0.112676056338
17,2016-12,355,-30,-0.0779220779221
18,2016-11,385,-3,-0.00773195876289
19,2016-10,388,-25,-0.0605326876513
20,2016-09,413,-61,-0.128691983122
21,2016-08,474,50,0.117924528302
22,2016-07,424,-156,-0.268965517241
23,2016-06,580,-30,-0.0491803278689
24,2016-05,610,-102,-0.143258426966
25,2016-04,712,48,0.0722891566265
26,2016-03,664,224,0.509090909091
27,2016-02,440,-18,-0.0393013100437
28,2016-01,458,-33,-0.0672097759674
29,2015-12,491,-167,-0.253799392097
30,2015-11,658,219,0.498861047836
31,2015-10,439,29,0.0707317073171
32,2015-09,410,-289,-0.413447782546
33,2015-08,699,-7,-0.00991501416431
34,2015-07,706,111,0.186554621849
35,2015-06,595,-126,-0.174757281553
36,2015-05,721,202,0.389210019268
37,2015-04,519,56,0.120950323974
38,2015-03,463,-75,-0.139405204461
39,2015-02,538,103,0.236781609195
40,2015-01,435,90,0.260869565217
41,2014-12,345,-129,-0.272151898734
42,2014-11,474,35,0.0797266514806
43,2014-10,439,58,0.152230971129
44,2014-09,381,-140,-0.268714011516
45,2014-08,521,88,0.203233256351
46,2014-07,433,93,0.273529411765
47,2014-06,340,12,0.0365853658537
48,2014-05,328,5,0.015479876161
49,2014-04,323,92,0.398268398268
50,2014-03,231,182,3.71428571429
51,2014-02,49,0,0.0
