,date,nums,increment,ratio
0,2018-04,360,-138,-0.277108433735
1,2018-03,498,179,0.561128526646
2,2018-02,319,-68,-0.175710594315
3,2018-01,387,-20,-0.04914004914
4,2017-12,407,-45,-0.0995575221239
5,2017-11,452,58,0.147208121827
6,2017-10,394,38,0.106741573034
7,2017-09,356,-60,-0.144230769231
8,2017-08,416,-3,-0.00715990453461
9,2017-07,419,59,0.163888888889
10,2017-06,360,-25,-0.0649350649351
11,2017-05,385,-7,-0.0178571428571
12,2017-04,392,-72,-0.155172413793
13,2017-03,464,153,0.491961414791
14,2017-02,311,4,0.0130293159609
15,2017-01,307,-48,-0.135211267606
16,2016-12,355,-1,-0.00280898876404
17,2016-11,356,-12,-0.0326086956522
18,2016-10,368,-14,-0.0366492146597
19,2016-09,382,30,0.0852272727273
20,2016-08,352,-15,-0.0408719346049
21,2016-07,367,-2,-0.00542005420054
22,2016-06,369,-3,-0.00806451612903
23,2016-05,372,14,0.0391061452514
24,2016-04,358,-21,-0.0554089709763
25,2016-03,379,42,0.124629080119
26,2016-02,337,-176,-0.343079922027
27,2016-01,513,160,0.453257790368
28,2015-12,353,-78,-0.180974477958
29,2015-11,431,87,0.252906976744
30,2015-10,344,12,0.0361445783133
31,2015-09,332,1,0.00302114803625
32,2015-08,331,8,0.0247678018576
33,2015-07,323,-93,-0.223557692308
34,2015-06,416,98,0.308176100629
35,2015-05,318,-48,-0.131147540984
36,2015-04,366,0,0.0
37,2015-03,366,74,0.253424657534
38,2015-02,292,51,0.211618257261
39,2015-01,241,-8,-0.0321285140562
40,2014-12,249,-15,-0.0568181818182
41,2014-11,264,-15,-0.0537634408602
42,2014-10,279,2,0.0072202166065
43,2014-09,277,-47,-0.145061728395
44,2014-08,324,138,0.741935483871
45,2014-07,186,12,0.0689655172414
46,2014-06,174,-6,-0.0333333333333
47,2014-05,180,23,0.146496815287
48,2014-04,157,55,0.539215686275
49,2014-03,102,89,6.84615384615
50,2014-02,13,0,0.0
