,date,nums,increment,ratio
0,2018-04,3,-4,-0.571428571429
1,2018-03,7,3,0.75
2,2018-02,4,0,0.0
3,2018-01,4,-3,-0.428571428571
4,2017-12,7,5,2.5
5,2017-11,2,-1,-0.333333333333
6,2017-10,3,0,0.0
7,2017-09,3,-4,-0.571428571429
8,2017-08,7,4,1.33333333333
9,2017-07,3,-6,-0.666666666667
10,2017-06,9,7,3.5
11,2017-05,2,1,1.0
12,2017-04,1,-9,-0.9
13,2017-03,10,3,0.428571428571
14,2017-02,7,1,0.166666666667
15,2017-01,6,-7,-0.538461538462
16,2016-12,13,1,0.0833333333333
17,2016-11,12,7,1.4
18,2016-10,5,3,1.5
19,2016-09,2,-2,-0.5
20,2016-08,4,3,3.0
21,2016-07,1,-1,-0.5
22,2016-06,2,-3,-0.6
23,2016-05,5,2,0.666666666667
24,2016-04,3,-5,-0.625
25,2016-03,8,2,0.333333333333
26,2016-02,6,-1,-0.142857142857
27,2016-01,7,1,0.166666666667
28,2015-12,6,5,5.0
29,2015-11,1,-3,-0.75
30,2015-10,4,-1,-0.2
31,2015-09,5,1,0.25
32,2015-08,4,0,0.0
33,2015-07,4,1,0.333333333333
34,2015-06,3,-5,-0.625
35,2015-05,8,-10,-0.555555555556
36,2015-04,18,9,1.0
37,2015-03,9,0,0.0
38,2015-02,9,4,0.8
39,2015-01,5,3,1.5
40,2014-12,2,-13,-0.866666666667
41,2014-11,15,11,2.75
42,2014-10,4,-14,-0.777777777778
43,2014-09,18,6,0.5
44,2014-08,12,-10,-0.454545454545
45,2014-07,22,18,4.5
46,2014-06,4,0,0.0
47,2014-05,4,3,3.0
48,2014-04,1,-2,-0.666666666667
49,2014-03,3,-1,-0.25
50,2014-02,4,0,0.0
51,2014-01,4,-2,-0.333333333333
52,2013-12,6,1,0.2
53,2013-11,5,1,0.25
54,2013-10,4,0,0.0
55,2013-09,4,-4,-0.5
56,2013-08,8,-1,-0.111111111111
57,2013-07,9,-2,-0.181818181818
58,2013-06,11,3,0.375
59,2013-05,8,-2,-0.2
60,2013-04,10,-5,-0.333333333333
61,2013-03,15,6,0.666666666667
62,2013-02,9,-6,-0.4
63,2013-01,15,7,0.875
64,2012-12,8,-3,-0.272727272727
65,2012-11,11,3,0.375
66,2012-10,8,-2,-0.2
67,2012-09,10,-10,-0.5
68,2012-08,20,16,4.0
69,2012-07,4,-6,-0.6
70,2012-06,10,3,0.428571428571
71,2012-05,7,1,0.166666666667
72,2012-04,6,-8,-0.571428571429
73,2012-03,14,4,0.4
74,2012-02,10,1,0.111111111111
75,2012-01,9,1,0.125
76,2011-12,8,-11,-0.578947368421
77,2011-11,19,-3,-0.136363636364
78,2011-10,22,7,0.466666666667
79,2011-09,15,-10,-0.4
80,2011-08,25,-226,-0.900398406375
81,2011-07,251,250,250.0
82,2011-06,1,0,0.0
