,date,nums,increment,ratio
0,2018-03,2,0,0.0
1,2018-01,2,1,1.0
2,2017-12,1,0,0.0
3,2017-11,1,-2,-0.666666666667
4,2017-07,3,2,2.0
5,2017-06,1,0,0.0
6,2017-04,1,0,0.0
7,2017-01,1,-2,-0.666666666667
8,2016-12,3,1,0.5
9,2016-11,2,0,0.0
10,2016-09,2,-1,-0.333333333333
11,2016-08,3,1,0.5
12,2016-07,2,1,1.0
13,2016-06,1,0,0.0
14,2016-05,1,-1,-0.5
15,2016-04,2,-1,-0.333333333333
16,2016-03,3,0,0.0
17,2016-02,3,2,2.0
18,2015-12,1,0,0.0
19,2015-11,1,0,0.0
20,2015-10,1,-1,-0.5
21,2015-08,2,1,1.0
22,2015-05,1,0,0.0
23,2015-01,1,0,0.0
24,2013-05,1,0,0.0
25,2013-04,1,0,0.0
26,2012-09,1,0,0.0
27,2012-06,1,0,0.0
