,date,nums,increment,ratio
0,2018-04,10,-3,-0.230769230769
1,2018-03,13,2,0.181818181818
2,2018-02,11,-2,-0.153846153846
3,2018-01,13,5,0.625
4,2017-12,8,-7,-0.466666666667
5,2017-11,15,11,2.75
6,2017-10,4,-10,-0.714285714286
7,2017-09,14,5,0.555555555556
8,2017-08,9,2,0.285714285714
9,2017-07,7,-2,-0.222222222222
10,2017-06,9,3,0.5
11,2017-05,6,-5,-0.454545454545
12,2017-04,11,2,0.222222222222
13,2017-03,9,0,0.0
14,2017-02,9,0,0.0
15,2017-01,9,0,0.0
16,2016-12,9,0,0.0
17,2016-11,9,4,0.8
18,2016-10,5,-4,-0.444444444444
19,2016-09,9,0,0.0
20,2016-08,9,-4,-0.307692307692
21,2016-07,13,6,0.857142857143
22,2016-06,7,3,0.75
23,2016-05,4,-3,-0.428571428571
24,2016-04,7,-1,-0.125
25,2016-03,8,1,0.142857142857
26,2016-02,7,-1,-0.125
27,2016-01,8,-4,-0.333333333333
28,2015-12,12,6,1.0
29,2015-11,6,2,0.5
30,2015-10,4,-3,-0.428571428571
31,2015-09,7,-2,-0.222222222222
32,2015-08,9,2,0.285714285714
33,2015-07,7,3,0.75
34,2015-06,4,-3,-0.428571428571
35,2015-05,7,1,0.166666666667
36,2015-04,6,-3,-0.333333333333
37,2015-03,9,5,1.25
38,2015-02,4,2,1.0
39,2015-01,2,-3,-0.6
40,2014-12,5,2,0.666666666667
41,2014-11,3,-1,-0.25
42,2014-10,4,1,0.333333333333
43,2014-09,3,1,0.5
44,2014-08,2,0,0.0
45,2014-06,2,0,0.0
46,2014-05,2,-2,-0.5
47,2014-04,4,3,3.0
48,2014-03,1,-1,-0.5
49,2014-02,2,1,1.0
50,2013-12,1,-1,-0.5
51,2013-11,2,1,1.0
52,2013-07,1,0,0.0
53,2013-06,1,0,0.0
54,2013-05,1,-3,-0.75
55,2013-04,4,3,3.0
56,2013-03,1,-1,-0.5
57,2013-02,2,0,0.0
58,2012-06,2,1,1.0
59,2012-05,1,-1,-0.5
60,2012-04,2,1,1.0
61,2012-03,1,0,0.0
62,2012-02,1,0,0.0
63,2012-01,1,0,0.0
64,2011-11,1,0,0.0
65,2011-10,1,-1,-0.5
66,2011-09,2,-21,-0.913043478261
67,2011-08,23,0,0.0
