,date,nums,increment,ratio
0,2018-02,1,-2,-0.666666666667
1,2018-01,3,2,2.0
2,2017-11,1,-1,-0.5
3,2017-07,2,1,1.0
4,2017-05,1,-4,-0.8
5,2017-01,5,2,0.666666666667
6,2016-12,3,-1,-0.25
7,2016-09,4,2,1.0
8,2016-06,2,-8,-0.8
9,2016-04,10,9,9.0
10,2016-03,1,0,0.0
11,2016-02,1,-7,-0.875
12,2016-01,8,5,1.66666666667
13,2015-12,3,1,0.5
14,2015-10,2,0,0.0
15,2015-06,2,-2,-0.5
16,2015-05,4,3,3.0
17,2015-04,1,0,0.0
18,2015-03,1,-2,-0.666666666667
19,2014-12,3,2,2.0
20,2014-11,1,-14,-0.933333333333
21,2014-08,15,13,6.5
22,2014-06,2,0,0.0
23,2014-05,2,-1,-0.333333333333
24,2014-03,3,1,0.5
25,2012-10,2,0,0.0
26,2012-07,2,0,0.0
