,date,nums,increment,ratio
0,2018-04,21,-31,-0.596153846154
1,2018-03,52,47,9.4
2,2018-02,5,-32,-0.864864864865
3,2018-01,37,26,2.36363636364
4,2017-12,11,-11,-0.5
5,2017-11,22,-1,-0.0434782608696
6,2017-10,23,-31,-0.574074074074
7,2017-09,54,41,3.15384615385
8,2017-08,13,-3,-0.1875
9,2017-07,16,10,1.66666666667
10,2017-06,6,-11,-0.647058823529
11,2017-05,17,-17,-0.5
12,2017-04,34,15,0.789473684211
13,2017-03,19,-17,-0.472222222222
14,2017-02,36,7,0.241379310345
15,2017-01,29,12,0.705882352941
16,2016-12,17,4,0.307692307692
17,2016-11,13,-2,-0.133333333333
18,2016-10,15,-18,-0.545454545455
19,2016-09,33,27,4.5
20,2016-08,6,-9,-0.6
21,2016-07,15,4,0.363636363636
22,2016-06,11,-2,-0.153846153846
23,2016-05,13,-16,-0.551724137931
24,2016-04,29,-46,-0.613333333333
25,2016-03,75,-11,-0.127906976744
26,2016-02,86,4,0.0487804878049
27,2016-01,82,39,0.906976744186
28,2015-12,43,-32,-0.426666666667
29,2015-11,75,31,0.704545454545
30,2015-10,44,3,0.0731707317073
31,2015-09,41,18,0.782608695652
32,2015-08,23,-36,-0.610169491525
33,2015-07,59,30,1.03448275862
34,2015-06,29,-23,-0.442307692308
35,2015-05,52,-21,-0.287671232877
36,2015-04,73,41,1.28125
37,2015-03,32,-9,-0.219512195122
38,2015-02,41,21,1.05
39,2015-01,20,-39,-0.661016949153
40,2014-12,59,-5,-0.078125
41,2014-11,64,2,0.0322580645161
42,2014-10,62,11,0.21568627451
43,2014-09,51,15,0.416666666667
44,2014-08,36,-46,-0.560975609756
45,2014-07,82,49,1.48484848485
46,2014-06,33,-28,-0.459016393443
47,2014-05,61,9,0.173076923077
48,2014-04,52,11,0.268292682927
49,2014-03,41,-2,-0.046511627907
50,2014-02,43,-8,-0.156862745098
51,2014-01,51,28,1.21739130435
52,2013-12,23,-5,-0.178571428571
53,2013-11,28,12,0.75
54,2013-10,16,-23,-0.589743589744
55,2013-09,39,-8,-0.170212765957
56,2013-08,47,27,1.35
57,2013-07,20,-42,-0.677419354839
58,2013-06,62,15,0.31914893617
59,2013-05,47,31,1.9375
60,2013-04,16,-25,-0.609756097561
61,2013-03,41,38,12.6666666667
62,2013-02,3,-17,-0.85
63,2013-01,20,-14,-0.411764705882
64,2012-12,34,21,1.61538461538
65,2012-11,13,-37,-0.74
66,2012-10,50,31,1.63157894737
67,2012-09,19,12,1.71428571429
68,2012-08,7,1,0.166666666667
69,2012-07,6,-13,-0.684210526316
70,2012-06,19,-26,-0.577777777778
71,2012-05,45,18,0.666666666667
72,2012-04,27,14,1.07692307692
73,2012-03,13,-4,-0.235294117647
74,2012-02,17,-13,-0.433333333333
75,2012-01,30,-8,-0.210526315789
76,2011-12,38,2,0.0555555555556
77,2011-11,36,6,0.2
78,2011-10,30,-12,-0.285714285714
79,2011-09,42,-13,-0.236363636364
80,2011-08,55,31,1.29166666667
81,2011-07,24,-20,-0.454545454545
82,2011-06,44,33,3.0
83,2011-05,11,-18,-0.620689655172
84,2011-04,29,-13,-0.309523809524
85,2011-03,42,13,0.448275862069
86,2011-02,29,4,0.16
87,2011-01,25,20,4.0
88,2010-12,5,-23,-0.821428571429
89,2010-11,28,-75,-0.728155339806
90,2010-10,103,24,0.303797468354
91,2010-09,79,-42,-0.347107438017
92,2010-08,121,104,6.11764705882
93,2010-07,17,11,1.83333333333
94,2010-06,6,-10,-0.625
95,2010-05,16,-10,-0.384615384615
96,2010-04,26,-35,-0.573770491803
97,2010-03,61,39,1.77272727273
98,2010-02,22,7,0.466666666667
99,2010-01,15,5,0.5
100,2009-12,10,-2,-0.166666666667
101,2009-11,12,2,0.2
102,2009-10,10,-5,-0.333333333333
103,2009-09,15,8,1.14285714286
104,2009-08,7,-25,-0.78125
105,2009-07,32,19,1.46153846154
106,2009-06,13,-21,-0.617647058824
107,2009-05,34,-15,-0.30612244898
108,2009-04,49,-59,-0.546296296296
109,2009-03,108,52,0.928571428571
110,2009-02,56,10,0.217391304348
111,2009-01,46,33,2.53846153846
112,2008-12,13,0,0.0
113,2008-11,13,-15,-0.535714285714
114,2008-10,28,25,8.33333333333
115,2008-09,3,-3,-0.5
116,2008-08,6,-28,-0.823529411765
117,2008-07,34,-270,-0.888157894737
118,2008-06,304,290,20.7142857143
119,2008-05,14,-33,-0.702127659574
120,2008-04,47,-43,-0.477777777778
121,2008-03,90,6,0.0714285714286
122,2008-02,84,42,1.0
123,2008-01,42,15,0.555555555556
124,2007-12,27,-40,-0.597014925373
125,2007-11,67,33,0.970588235294
126,2007-10,34,-2,-0.0555555555556
127,2007-09,36,-24,-0.4
128,2007-08,60,23,0.621621621622
129,2007-07,37,16,0.761904761905
130,2007-06,21,-5,-0.192307692308
131,2007-05,26,-2,-0.0714285714286
132,2007-04,28,-15,-0.348837209302
133,2007-03,43,-26,-0.376811594203
134,2007-02,69,9,0.15
135,2007-01,60,44,2.75
136,2006-12,16,-6,-0.272727272727
137,2006-11,22,-30,-0.576923076923
138,2006-10,52,11,0.268292682927
139,2006-09,41,4,0.108108108108
140,2006-08,37,24,1.84615384615
141,2006-07,13,5,0.625
142,2006-06,8,6,3.0
143,2006-05,2,0,0.0
