,date,nums,increment,ratio
0,2018-04,40,-7,-0.148936170213
1,2018-03,47,28,1.47368421053
2,2018-02,19,-23,-0.547619047619
3,2018-01,42,12,0.4
4,2017-12,30,-15,-0.333333333333
5,2017-11,45,20,0.8
6,2017-10,25,-25,-0.5
7,2017-09,50,8,0.190476190476
8,2017-08,42,-1,-0.0232558139535
9,2017-07,43,4,0.102564102564
10,2017-06,39,-8,-0.170212765957
11,2017-05,47,18,0.620689655172
12,2017-04,29,-22,-0.43137254902
13,2017-03,51,1,0.02
14,2017-02,50,14,0.388888888889
15,2017-01,36,-7,-0.162790697674
16,2016-12,43,8,0.228571428571
17,2016-11,35,-16,-0.313725490196
18,2016-10,51,6,0.133333333333
19,2016-09,45,-3,-0.0625
20,2016-08,48,2,0.0434782608696
21,2016-07,46,9,0.243243243243
22,2016-06,37,-25,-0.403225806452
23,2016-05,62,11,0.21568627451
24,2016-04,51,-8,-0.135593220339
25,2016-03,59,30,1.03448275862
26,2016-02,29,-7,-0.194444444444
27,2016-01,36,-5,-0.121951219512
28,2015-12,41,-11,-0.211538461538
29,2015-11,52,3,0.0612244897959
30,2015-10,49,14,0.4
31,2015-09,35,5,0.166666666667
32,2015-08,30,-2,-0.0625
33,2015-07,32,-6,-0.157894736842
34,2015-06,38,1,0.027027027027
35,2015-05,37,-7,-0.159090909091
36,2015-04,44,-7,-0.137254901961
37,2015-03,51,23,0.821428571429
38,2015-02,28,-9,-0.243243243243
39,2015-01,37,7,0.233333333333
40,2014-12,30,-8,-0.210526315789
41,2014-11,38,18,0.9
42,2014-10,20,-11,-0.354838709677
43,2014-09,31,7,0.291666666667
44,2014-08,24,-7,-0.225806451613
45,2014-07,31,-6,-0.162162162162
46,2014-06,37,7,0.233333333333
47,2014-05,30,8,0.363636363636
48,2014-04,22,5,0.294117647059
49,2014-03,17,0,0.0
50,2014-02,17,-1,-0.0555555555556
51,2014-01,18,-2,-0.1
52,2013-12,20,5,0.333333333333
53,2013-11,15,1,0.0714285714286
54,2013-10,14,-9,-0.391304347826
55,2013-09,23,9,0.642857142857
56,2013-08,14,2,0.166666666667
57,2013-07,12,6,1.0
58,2013-06,6,2,0.5
59,2013-05,4,-4,-0.5
60,2013-04,8,-4,-0.333333333333
61,2013-03,12,1,0.0909090909091
62,2013-02,11,-1,-0.0833333333333
63,2013-01,12,1,0.0909090909091
64,2012-12,11,2,0.222222222222
65,2012-11,9,0,0.0
66,2012-10,9,0,0.0
67,2012-09,9,-7,-0.4375
68,2012-08,16,7,0.777777777778
69,2012-07,9,-2,-0.181818181818
70,2012-06,11,5,0.833333333333
71,2012-05,6,-1,-0.142857142857
72,2012-04,7,1,0.166666666667
73,2012-03,6,-3,-0.333333333333
74,2012-02,9,1,0.125
75,2012-01,8,4,1.0
76,2011-12,4,-1,-0.2
77,2011-11,5,-2,-0.285714285714
78,2011-10,7,5,2.5
79,2011-09,2,-3,-0.6
80,2011-08,5,1,0.25
81,2011-07,4,-2,-0.333333333333
82,2011-06,6,0,0.0
83,2011-05,6,3,1.0
84,2011-04,3,1,0.5
85,2011-03,2,1,1.0
86,2011-02,1,-2,-0.666666666667
87,2010-11,3,1,0.5
88,2010-10,2,0,0.0
89,2010-09,2,1,1.0
90,2010-08,1,-1,-0.5
91,2010-06,2,0,0.0
92,2010-05,2,1,1.0
93,2010-04,1,0,0.0
94,2010-03,1,0,0.0
