,date,nums,increment,ratio
0,2018-04,22,-8,-0.266666666667
1,2018-03,30,19,1.72727272727
2,2018-02,11,-23,-0.676470588235
3,2018-01,34,12,0.545454545455
4,2017-12,22,0,0.0
5,2017-11,22,-7,-0.241379310345
6,2017-10,29,-14,-0.325581395349
7,2017-09,43,27,1.6875
8,2017-08,16,-3,-0.157894736842
9,2017-07,19,1,0.0555555555556
10,2017-06,18,-7,-0.28
11,2017-05,25,-3,-0.107142857143
12,2017-04,28,2,0.0769230769231
13,2017-03,26,-6,-0.1875
14,2017-02,32,5,0.185185185185
15,2017-01,27,18,2.0
16,2016-12,9,-8,-0.470588235294
17,2016-11,17,0,0.0
18,2016-10,17,-11,-0.392857142857
19,2016-09,28,11,0.647058823529
20,2016-08,17,-3,-0.15
21,2016-07,20,5,0.333333333333
22,2016-06,15,-6,-0.285714285714
23,2016-05,21,-9,-0.3
24,2016-04,30,-25,-0.454545454545
25,2016-03,55,-36,-0.395604395604
26,2016-02,91,30,0.491803278689
27,2016-01,61,19,0.452380952381
28,2015-12,42,-7,-0.142857142857
29,2015-11,49,8,0.19512195122
30,2015-10,41,6,0.171428571429
31,2015-09,35,12,0.521739130435
32,2015-08,23,-17,-0.425
33,2015-07,40,16,0.666666666667
34,2015-06,24,-12,-0.333333333333
35,2015-05,36,-24,-0.4
36,2015-04,60,29,0.935483870968
37,2015-03,31,16,1.06666666667
38,2015-02,15,-12,-0.444444444444
39,2015-01,27,-19,-0.413043478261
40,2014-12,46,1,0.0222222222222
41,2014-11,45,23,1.04545454545
42,2014-10,22,-3,-0.12
43,2014-09,25,-9,-0.264705882353
44,2014-08,34,14,0.7
45,2014-07,20,2,0.111111111111
46,2014-06,18,0,0.0
47,2014-05,18,-4,-0.181818181818
48,2014-04,22,12,1.2
49,2014-03,10,8,4.0
50,2014-02,2,-5,-0.714285714286
51,2014-01,7,4,1.33333333333
52,2013-12,3,-4,-0.571428571429
53,2013-11,7,2,0.4
54,2013-10,5,-1,-0.166666666667
55,2013-09,6,-4,-0.4
56,2013-08,10,2,0.25
57,2013-07,8,7,7.0
58,2013-06,1,0,0.0
59,2013-05,1,-1,-0.5
60,2013-01,2,1,1.0
61,2012-11,1,-2,-0.666666666667
62,2012-10,3,2,2.0
63,2012-07,1,-3,-0.75
64,2012-06,4,3,3.0
65,2012-05,1,-3,-0.75
66,2012-04,4,1,0.333333333333
67,2012-03,3,1,0.5
68,2012-02,2,1,1.0
69,2012-01,1,0,0.0
70,2011-12,1,0,0.0
71,2011-10,1,0,0.0
72,2011-09,1,0,0.0
73,2011-08,1,-1,-0.5
74,2011-07,2,1,1.0
75,2011-06,1,0,0.0
