,date,nums,increment,ratio
0,2018-04,102,-45,-0.30612244898
1,2018-03,147,66,0.814814814815
2,2018-02,81,-28,-0.256880733945
3,2018-01,109,12,0.123711340206
4,2017-12,97,0,0.0
5,2017-11,97,34,0.539682539683
6,2017-10,63,-54,-0.461538461538
7,2017-09,117,20,0.20618556701
8,2017-08,97,4,0.0430107526882
9,2017-07,93,-12,-0.114285714286
10,2017-06,105,11,0.117021276596
11,2017-05,94,5,0.0561797752809
12,2017-04,89,-20,-0.183486238532
13,2017-03,109,31,0.397435897436
14,2017-02,78,-2,-0.025
15,2017-01,80,-1,-0.0123456790123
16,2016-12,81,5,0.0657894736842
17,2016-11,76,3,0.041095890411
18,2016-10,73,-6,-0.0759493670886
19,2016-09,79,6,0.0821917808219
20,2016-08,73,-27,-0.27
21,2016-07,100,16,0.190476190476
22,2016-06,84,-18,-0.176470588235
23,2016-05,102,23,0.291139240506
24,2016-04,79,-5,-0.0595238095238
25,2016-03,84,34,0.68
26,2016-02,50,-44,-0.468085106383
27,2016-01,94,29,0.446153846154
28,2015-12,65,-40,-0.380952380952
29,2015-11,105,13,0.141304347826
30,2015-10,92,25,0.373134328358
31,2015-09,67,2,0.0307692307692
32,2015-08,65,-19,-0.22619047619
33,2015-07,84,-2,-0.0232558139535
34,2015-06,86,16,0.228571428571
35,2015-05,70,-6,-0.0789473684211
36,2015-04,76,0,0.0
37,2015-03,76,39,1.05405405405
38,2015-02,37,-27,-0.421875
39,2015-01,64,7,0.122807017544
40,2014-12,57,-5,-0.0806451612903
41,2014-11,62,16,0.347826086957
42,2014-10,46,-7,-0.132075471698
43,2014-09,53,8,0.177777777778
44,2014-08,45,-4,-0.0816326530612
45,2014-07,49,5,0.113636363636
46,2014-06,44,-13,-0.228070175439
47,2014-05,57,20,0.540540540541
48,2014-04,37,1,0.0277777777778
49,2014-03,36,14,0.636363636364
50,2014-02,22,-16,-0.421052631579
51,2014-01,38,8,0.266666666667
52,2013-12,30,-1,-0.0322580645161
53,2013-11,31,10,0.47619047619
54,2013-10,21,-5,-0.192307692308
55,2013-09,26,-5,-0.161290322581
56,2013-08,31,4,0.148148148148
57,2013-07,27,9,0.5
58,2013-06,18,2,0.125
59,2013-05,16,-7,-0.304347826087
60,2013-04,23,4,0.210526315789
61,2013-03,19,10,1.11111111111
62,2013-02,9,7,3.5
63,2013-01,2,1,1.0
64,2012-10,1,0,0.0
65,2012-09,1,-1,-0.5
66,2012-08,2,-5,-0.714285714286
67,2012-07,7,4,1.33333333333
68,2012-06,3,-7,-0.7
69,2012-05,10,1,0.111111111111
70,2012-04,9,0,0.0
71,2012-03,9,-2,-0.181818181818
72,2012-02,11,5,0.833333333333
73,2012-01,6,2,0.5
74,2011-12,4,-9,-0.692307692308
75,2011-11,13,2,0.181818181818
76,2011-10,11,2,0.222222222222
77,2011-09,9,2,0.285714285714
78,2011-08,7,-7,-0.5
79,2011-07,14,7,1.0
80,2011-06,7,-4,-0.363636363636
81,2011-05,11,-2,-0.153846153846
82,2011-04,13,-2,-0.133333333333
83,2011-03,15,3,0.25
84,2011-02,12,-1,-0.0769230769231
85,2011-01,13,4,0.444444444444
86,2010-12,9,0,0.0
87,2010-11,9,-5,-0.357142857143
88,2010-10,14,6,0.75
89,2010-09,8,-7,-0.466666666667
90,2010-08,15,6,0.666666666667
91,2010-07,9,-1,-0.1
92,2010-06,10,1,0.111111111111
93,2010-05,9,-3,-0.25
94,2010-04,12,3,0.333333333333
95,2010-03,9,-2,-0.181818181818
96,2010-02,11,3,0.375
97,2010-01,8,-5,-0.384615384615
98,2009-12,13,10,3.33333333333
99,2009-11,3,-4,-0.571428571429
100,2009-10,7,-133,-0.95
101,2009-09,140,0,0.0
