,date,nums,increment,ratio
0,2018-04,49,-21,-0.3
1,2018-03,70,-27,-0.278350515464
2,2018-02,97,1,0.0104166666667
3,2018-01,96,28,0.411764705882
4,2017-12,68,-34,-0.333333333333
5,2017-11,102,23,0.291139240506
6,2017-10,79,-12,-0.131868131868
7,2017-09,91,20,0.281690140845
8,2017-08,71,-17,-0.193181818182
9,2017-07,88,-13,-0.128712871287
10,2017-06,101,-4,-0.0380952380952
11,2017-05,105,-13,-0.110169491525
12,2017-04,118,-27,-0.186206896552
13,2017-03,145,89,1.58928571429
14,2017-02,56,-46,-0.450980392157
15,2017-01,102,-23,-0.184
16,2016-12,125,32,0.344086021505
17,2016-11,93,-45,-0.326086956522
18,2016-10,138,51,0.586206896552
19,2016-09,87,-101,-0.537234042553
20,2016-08,188,142,3.08695652174
21,2016-07,46,-64,-0.581818181818
22,2016-06,110,-6,-0.051724137931
23,2016-05,116,-15,-0.114503816794
24,2016-04,131,-5,-0.0367647058824
25,2016-03,136,-12,-0.0810810810811
26,2016-02,148,-116,-0.439393939394
27,2016-01,264,121,0.846153846154
28,2015-12,143,-90,-0.386266094421
29,2015-11,233,15,0.0688073394495
30,2015-10,218,-31,-0.124497991968
31,2015-09,249,117,0.886363636364
32,2015-08,132,32,0.32
33,2015-07,100,-205,-0.672131147541
34,2015-06,305,113,0.588541666667
35,2015-05,192,61,0.465648854962
36,2015-04,131,-18,-0.120805369128
37,2015-03,149,-86,-0.365957446809
38,2015-02,235,-14,-0.0562248995984
39,2015-01,249,45,0.220588235294
40,2014-12,204,-19,-0.085201793722
41,2014-11,223,-32,-0.125490196078
42,2014-10,255,-19,-0.0693430656934
43,2014-09,274,112,0.691358024691
44,2014-08,162,53,0.48623853211
45,2014-07,109,-65,-0.373563218391
46,2014-06,174,13,0.0807453416149
47,2014-05,161,13,0.0878378378378
48,2014-04,148,-54,-0.267326732673
49,2014-03,202,99,0.961165048544
50,2014-02,103,-111,-0.518691588785
51,2014-01,214,104,0.945454545455
52,2013-12,110,-157,-0.588014981273
53,2013-11,267,75,0.390625
54,2013-10,192,-19,-0.0900473933649
55,2013-09,211,13,0.0656565656566
56,2013-08,198,-122,-0.38125
57,2013-07,320,89,0.385281385281
58,2013-06,231,30,0.149253731343
59,2013-05,201,116,1.36470588235
60,2013-04,85,-198,-0.69964664311
61,2013-03,283,79,0.387254901961
62,2013-02,204,-16,-0.0727272727273
63,2013-01,220,75,0.51724137931
64,2012-12,145,-6,-0.0397350993377
65,2012-11,151,33,0.279661016949
66,2012-10,118,18,0.18
67,2012-09,100,-91,-0.476439790576
68,2012-08,191,9,0.0494505494505
69,2012-07,182,15,0.0898203592814
70,2012-06,167,86,1.06172839506
71,2012-05,81,52,1.79310344828
72,2012-04,29,-135,-0.823170731707
73,2012-03,164,-58,-0.261261261261
74,2012-02,222,76,0.520547945205
75,2012-01,146,55,0.604395604396
76,2011-12,91,-50,-0.354609929078
77,2011-11,141,-49,-0.257894736842
78,2011-10,190,41,0.275167785235
79,2011-09,149,35,0.30701754386
80,2011-08,114,-119,-0.510729613734
81,2011-07,233,-23,-0.08984375
82,2011-06,256,146,1.32727272727
83,2011-05,110,25,0.294117647059
84,2011-04,85,-137,-0.617117117117
85,2011-03,222,70,0.460526315789
86,2011-02,152,-78,-0.339130434783
87,2011-01,230,48,0.263736263736
88,2010-12,182,-17,-0.0854271356784
89,2010-11,199,-17,-0.0787037037037
90,2010-10,216,30,0.161290322581
91,2010-09,186,66,0.55
92,2010-08,120,-31,-0.205298013245
93,2010-07,151,34,0.290598290598
94,2010-06,117,-107,-0.477678571429
95,2010-05,224,61,0.374233128834
96,2010-04,163,-38,-0.189054726368
97,2010-03,201,25,0.142045454545
98,2010-02,176,-7,-0.0382513661202
99,2010-01,183,17,0.102409638554
100,2009-12,166,-100,-0.375939849624
101,2009-11,266,185,2.28395061728
102,2009-10,81,-15,-0.15625
103,2009-09,96,25,0.352112676056
104,2009-08,71,-101,-0.587209302326
105,2009-07,172,8,0.0487804878049
106,2009-06,164,102,1.64516129032
107,2009-05,62,-41,-0.398058252427
108,2009-04,103,33,0.471428571429
109,2009-03,70,35,1.0
110,2009-02,35,-34,-0.492753623188
111,2009-01,69,-43,-0.383928571429
112,2008-12,112,-44,-0.282051282051
113,2008-11,156,89,1.32835820896
114,2008-10,67,-9,-0.118421052632
115,2008-09,76,43,1.30303030303
116,2008-08,33,0,0.0
117,2008-07,33,12,0.571428571429
118,2008-06,21,-27,-0.5625
119,2008-05,48,-15,-0.238095238095
120,2008-04,63,31,0.96875
121,2008-03,32,-14,-0.304347826087
122,2008-02,46,-14,-0.233333333333
123,2008-01,60,26,0.764705882353
124,2007-12,34,5,0.172413793103
125,2007-11,29,-55,-0.654761904762
126,2007-10,84,44,1.1
127,2007-09,40,-76,-0.655172413793
128,2007-08,116,64,1.23076923077
129,2007-07,52,4,0.0833333333333
130,2007-06,48,-71,-0.596638655462
131,2007-05,119,3,0.0258620689655
132,2007-04,116,26,0.288888888889
133,2007-03,90,55,1.57142857143
134,2007-02,35,-27,-0.435483870968
135,2007-01,62,15,0.31914893617
136,2006-12,47,-26,-0.356164383562
137,2006-11,73,-51,-0.411290322581
138,2006-10,124,41,0.493975903614
139,2006-09,83,37,0.804347826087
140,2006-08,46,2,0.0454545454545
141,2006-07,44,13,0.41935483871
142,2006-06,31,1,0.0333333333333
143,2006-05,30,-17,-0.36170212766
144,2006-04,47,28,1.47368421053
145,2006-03,19,0,0.0
