,date,nums,increment,ratio
0,2018-04,46,-24,-0.342857142857
1,2018-03,70,39,1.25806451613
2,2018-02,31,-25,-0.446428571429
3,2018-01,56,6,0.12
4,2017-12,50,8,0.190476190476
5,2017-11,42,-3,-0.0666666666667
6,2017-10,45,-9,-0.166666666667
7,2017-09,54,23,0.741935483871
8,2017-08,31,-14,-0.311111111111
9,2017-07,45,2,0.046511627907
10,2017-06,43,4,0.102564102564
11,2017-05,39,-5,-0.113636363636
12,2017-04,44,0,0.0
13,2017-03,44,19,0.76
14,2017-02,25,-5,-0.166666666667
15,2017-01,30,-7,-0.189189189189
16,2016-12,37,4,0.121212121212
17,2016-11,33,0,0.0
18,2016-10,33,-3,-0.0833333333333
19,2016-09,36,-2,-0.0526315789474
20,2016-08,38,12,0.461538461538
21,2016-07,26,-15,-0.365853658537
22,2016-06,41,0,0.0
23,2016-05,41,14,0.518518518519
24,2016-04,27,-2,-0.0689655172414
25,2016-03,29,8,0.380952380952
26,2016-02,21,-10,-0.322580645161
27,2016-01,31,-5,-0.138888888889
28,2015-12,36,8,0.285714285714
29,2015-11,28,9,0.473684210526
30,2015-10,19,-14,-0.424242424242
31,2015-09,33,9,0.375
32,2015-08,24,-3,-0.111111111111
33,2015-07,27,9,0.5
34,2015-06,18,-5,-0.217391304348
35,2015-05,23,4,0.210526315789
36,2015-04,19,-6,-0.24
37,2015-03,25,16,1.77777777778
38,2015-02,9,-12,-0.571428571429
39,2015-01,21,9,0.75
40,2014-12,12,0,0.0
41,2014-11,12,-4,-0.25
42,2014-10,16,7,0.777777777778
43,2014-09,9,-6,-0.4
44,2014-08,15,4,0.363636363636
45,2014-07,11,4,0.571428571429
46,2014-06,7,-6,-0.461538461538
47,2014-05,13,3,0.3
48,2014-04,10,2,0.25
49,2014-03,8,-1,-0.111111111111
50,2014-02,9,6,2.0
51,2014-01,3,-6,-0.666666666667
52,2013-12,9,-1,-0.1
53,2013-11,10,5,1.0
54,2013-10,5,0,0.0
55,2013-09,5,1,0.25
56,2013-08,4,-2,-0.333333333333
57,2013-07,6,1,0.2
58,2013-06,5,2,0.666666666667
59,2013-05,3,0,0.0
60,2013-04,3,0,0.0
61,2013-03,3,0,0.0
62,2013-02,3,-1,-0.25
63,2013-01,4,3,3.0
64,2012-12,1,-2,-0.666666666667
65,2012-10,3,-2,-0.4
66,2012-09,5,4,4.0
67,2012-07,1,0,0.0
68,2012-05,1,0,0.0
69,2012-03,1,-1,-0.5
70,2012-02,2,1,1.0
71,2012-01,1,0,0.0
72,2011-11,1,0,0.0
