,date,nums,increment,ratio
0,2018-04,3,-1,-0.25
1,2018-03,4,-1,-0.2
2,2018-02,5,4,4.0
3,2017-12,1,-13,-0.928571428571
4,2017-11,14,5,0.555555555556
5,2017-10,9,7,3.5
6,2017-08,2,0,0.0
7,2017-07,2,-10,-0.833333333333
8,2017-06,12,10,5.0
9,2017-05,2,-2,-0.5
10,2017-04,4,-1,-0.2
11,2017-03,5,0,0.0
12,2017-02,5,1,0.25
13,2017-01,4,2,1.0
14,2016-10,2,1,1.0
15,2016-09,1,0,0.0
16,2016-07,1,0,0.0
17,2016-06,1,-1,-0.5
18,2016-04,2,-1,-0.333333333333
19,2016-02,3,2,2.0
20,2016-01,1,0,0.0
21,2015-12,1,-1,-0.5
22,2015-11,2,1,1.0
23,2015-08,1,0,0.0
24,2015-06,1,0,0.0
25,2015-05,1,-1,-0.5
26,2015-03,2,1,1.0
27,2015-02,1,-1,-0.5
28,2015-01,2,1,1.0
29,2014-11,1,0,0.0
30,2014-08,1,-1,-0.5
31,2014-07,2,1,1.0
32,2014-06,1,-3,-0.75
33,2014-05,4,3,3.0
34,2014-04,1,0,0.0
35,2014-02,1,-1,-0.5
36,2013-12,2,1,1.0
37,2013-09,1,0,0.0
