,date,nums,increment,ratio
0,2018-04,59,-36,-0.378947368421
1,2018-03,95,45,0.9
2,2018-02,50,-41,-0.450549450549
3,2018-01,91,19,0.263888888889
4,2017-12,72,-9,-0.111111111111
5,2017-11,81,20,0.327868852459
6,2017-10,61,-11,-0.152777777778
7,2017-09,72,0,0.0
8,2017-08,72,-2,-0.027027027027
9,2017-07,74,3,0.0422535211268
10,2017-06,71,13,0.224137931034
11,2017-05,58,-2,-0.0333333333333
12,2017-04,60,-6,-0.0909090909091
13,2017-03,66,30,0.833333333333
14,2017-02,36,0,0.0
15,2017-01,36,-7,-0.162790697674
16,2016-12,43,-10,-0.188679245283
17,2016-11,53,15,0.394736842105
18,2016-10,38,-9,-0.191489361702
19,2016-09,47,5,0.119047619048
20,2016-08,42,14,0.5
21,2016-07,28,-31,-0.525423728814
22,2016-06,59,15,0.340909090909
23,2016-05,44,-4,-0.0833333333333
24,2016-04,48,-8,-0.142857142857
25,2016-03,56,19,0.513513513514
26,2016-02,37,9,0.321428571429
27,2016-01,28,-12,-0.3
28,2015-12,40,4,0.111111111111
29,2015-11,36,10,0.384615384615
30,2015-10,26,5,0.238095238095
31,2015-09,21,2,0.105263157895
32,2015-08,19,-11,-0.366666666667
33,2015-07,30,1,0.0344827586207
34,2015-06,29,-15,-0.340909090909
35,2015-05,44,12,0.375
36,2015-04,32,7,0.28
37,2015-03,25,9,0.5625
38,2015-02,16,-4,-0.2
39,2015-01,20,8,0.666666666667
40,2014-12,12,-7,-0.368421052632
41,2014-11,19,-6,-0.24
42,2014-10,25,5,0.25
43,2014-09,20,3,0.176470588235
44,2014-08,17,1,0.0625
45,2014-07,16,1,0.0666666666667
46,2014-06,15,-5,-0.25
47,2014-05,20,9,0.818181818182
48,2014-04,11,0,0.0
49,2014-03,11,-1,-0.0833333333333
50,2014-02,12,3,0.333333333333
51,2014-01,9,2,0.285714285714
52,2013-12,7,-5,-0.416666666667
53,2013-11,12,4,0.5
54,2013-10,8,3,0.6
55,2013-09,5,2,0.666666666667
56,2013-08,3,-8,-0.727272727273
57,2013-07,11,8,2.66666666667
58,2013-06,3,-6,-0.666666666667
59,2013-05,9,4,0.8
60,2013-04,5,1,0.25
61,2013-03,4,2,1.0
62,2013-02,2,1,1.0
63,2013-01,1,0,0.0
64,2012-12,1,0,0.0
65,2012-11,1,0,0.0
66,2012-10,1,0,0.0
67,2012-09,1,-1,-0.5
68,2012-07,2,1,1.0
69,2012-04,1,-2,-0.666666666667
70,2012-01,3,1,0.5
71,2011-12,2,0,0.0
72,2011-11,2,-32,-0.941176470588
73,2011-10,34,0,0.0
