,date,nums,increment,ratio
0,2018-04,6,1,0.2
1,2018-03,5,0,0.0
2,2018-02,5,0,0.0
3,2018-01,5,-2,-0.285714285714
4,2017-12,7,-5,-0.416666666667
5,2017-11,12,6,1.0
6,2017-10,6,-3,-0.333333333333
7,2017-09,9,-8,-0.470588235294
8,2017-08,17,10,1.42857142857
9,2017-07,7,-5,-0.416666666667
10,2017-06,12,5,0.714285714286
11,2017-05,7,-3,-0.3
12,2017-04,10,-1,-0.0909090909091
13,2017-03,11,1,0.1
14,2017-02,10,-1,-0.0909090909091
15,2017-01,11,0,0.0
16,2016-12,11,3,0.375
17,2016-11,8,1,0.142857142857
18,2016-10,7,-5,-0.416666666667
19,2016-09,12,3,0.333333333333
20,2016-08,9,5,1.25
21,2016-07,4,-5,-0.555555555556
22,2016-06,9,3,0.5
23,2016-05,6,4,2.0
24,2016-04,2,-18,-0.9
25,2016-03,20,18,9.0
26,2016-02,2,0,0.0
27,2016-01,2,-13,-0.866666666667
28,2015-12,15,5,0.5
29,2015-11,10,5,1.0
30,2015-10,5,-3,-0.375
31,2015-09,8,4,1.0
32,2015-08,4,0,0.0
33,2015-07,4,-17,-0.809523809524
34,2015-06,21,1,0.05
35,2015-05,20,14,2.33333333333
36,2015-04,6,-7,-0.538461538462
37,2015-03,13,7,1.16666666667
38,2015-02,6,2,0.5
39,2015-01,4,1,0.333333333333
40,2014-12,3,-2,-0.4
41,2014-11,5,-1,-0.166666666667
42,2014-10,6,-1,-0.142857142857
43,2014-09,7,-4,-0.363636363636
44,2014-08,11,-22,-0.666666666667
45,2014-07,33,24,2.66666666667
46,2014-06,9,-8,-0.470588235294
47,2014-05,17,-4,-0.190476190476
48,2014-04,21,-1,-0.0454545454545
49,2014-03,22,15,2.14285714286
50,2014-02,7,-5,-0.416666666667
51,2014-01,12,-1,-0.0769230769231
52,2013-12,13,6,0.857142857143
53,2013-11,7,-25,-0.78125
54,2013-10,32,12,0.6
55,2013-09,20,18,9.0
56,2013-08,2,-1,-0.333333333333
57,2013-07,3,-1,-0.25
58,2013-06,4,-4,-0.5
59,2013-05,8,7,7.0
60,2013-04,1,-4,-0.8
61,2013-03,5,-5,-0.5
62,2013-02,10,-1,-0.0909090909091
63,2013-01,11,-10,-0.47619047619
64,2012-12,21,16,3.2
65,2012-11,5,3,1.5
66,2012-10,2,-11,-0.846153846154
67,2012-09,13,4,0.444444444444
68,2012-08,9,4,0.8
69,2012-07,5,-3,-0.375
70,2012-06,8,4,1.0
71,2012-05,4,-1,-0.2
72,2012-04,5,-14,-0.736842105263
73,2012-03,19,5,0.357142857143
74,2012-02,14,6,0.75
75,2012-01,8,-16,-0.666666666667
76,2011-12,24,15,1.66666666667
77,2011-11,9,-14,-0.608695652174
78,2011-10,23,-11,-0.323529411765
79,2011-09,34,13,0.619047619048
80,2011-08,21,3,0.166666666667
81,2011-07,18,2,0.125
82,2011-06,16,7,0.777777777778
83,2011-05,9,1,0.125
84,2011-04,8,0,0.0
85,2011-03,8,0,0.0
86,2011-02,8,6,3.0
87,2011-01,2,-6,-0.75
88,2010-12,8,-8,-0.5
89,2010-11,16,0,0.0
90,2010-10,16,9,1.28571428571
91,2010-09,7,-1,-0.125
92,2010-08,8,-6,-0.428571428571
93,2010-07,14,12,6.0
94,2010-06,2,-9,-0.818181818182
95,2010-05,11,-1,-0.0833333333333
96,2010-04,12,-32,-0.727272727273
97,2010-03,44,32,2.66666666667
98,2010-02,12,-11,-0.478260869565
99,2010-01,23,2,0.0952380952381
100,2009-12,21,0,0.0
101,2009-11,21,7,0.5
102,2009-10,14,8,1.33333333333
103,2009-09,6,-12,-0.666666666667
104,2009-08,18,5,0.384615384615
105,2009-07,13,-30,-0.697674418605
106,2009-06,43,12,0.387096774194
107,2009-05,31,7,0.291666666667
108,2009-04,24,11,0.846153846154
109,2009-03,13,-5,-0.277777777778
110,2009-02,18,-3,-0.142857142857
111,2009-01,21,3,0.166666666667
112,2008-12,18,4,0.285714285714
113,2008-11,14,-30,-0.681818181818
114,2008-10,44,26,1.44444444444
115,2008-09,18,2,0.125
116,2008-08,16,4,0.333333333333
117,2008-07,12,-17,-0.586206896552
118,2008-06,29,9,0.45
119,2008-05,20,-7,-0.259259259259
120,2008-04,27,16,1.45454545455
121,2008-03,11,-3,-0.214285714286
122,2008-02,14,-10,-0.416666666667
123,2008-01,24,2,0.0909090909091
124,2007-12,22,-17,-0.435897435897
125,2007-11,39,0,0.0
