,date,nums,increment,ratio
0,2018-04,12,-11,-0.478260869565
1,2018-03,23,2,0.0952380952381
2,2018-02,21,6,0.4
3,2018-01,15,2,0.153846153846
4,2017-12,13,-1,-0.0714285714286
5,2017-11,14,-12,-0.461538461538
6,2017-10,26,-6,-0.1875
7,2017-09,32,0,0.0
8,2017-08,32,10,0.454545454545
9,2017-07,22,-10,-0.3125
10,2017-06,32,9,0.391304347826
11,2017-05,23,-12,-0.342857142857
12,2017-04,35,6,0.206896551724
13,2017-03,29,8,0.380952380952
14,2017-02,21,0,0.0
15,2017-01,21,0,0.0
16,2016-12,21,0,0.0
17,2016-11,21,7,0.5
18,2016-10,14,10,2.5
19,2016-09,4,0,0.0
20,2016-08,4,2,1.0
21,2016-07,2,-2,-0.5
22,2016-06,4,2,1.0
23,2016-05,2,-4,-0.666666666667
24,2016-04,6,0,0.0
25,2016-03,6,3,1.0
26,2016-02,3,1,0.5
27,2016-01,2,-1,-0.333333333333
28,2015-12,3,2,2.0
29,2015-10,1,-3,-0.75
30,2015-09,4,0,0.0
31,2015-08,4,2,1.0
32,2015-07,2,-3,-0.6
33,2015-06,5,3,1.5
34,2015-05,2,0,0.0
35,2015-04,2,1,1.0
36,2015-03,1,-2,-0.666666666667
37,2015-01,3,2,2.0
38,2014-12,1,0,0.0
39,2014-11,1,-3,-0.75
40,2014-09,4,1,0.333333333333
41,2014-07,3,1,0.5
42,2014-06,2,1,1.0
43,2014-05,1,0,0.0
44,2014-04,1,0,0.0
45,2014-02,1,-2,-0.666666666667
46,2013-12,3,1,0.5
47,2013-11,2,1,1.0
48,2013-04,1,0,0.0
49,2012-09,1,0,0.0
50,2012-07,1,0,0.0
51,2012-06,1,0,0.0
