,date,nums,increment,ratio
0,2018-04,154,-26,-0.144444444444
1,2018-03,180,77,0.747572815534
2,2018-02,103,-46,-0.308724832215
3,2018-01,149,22,0.173228346457
4,2017-12,127,-5,-0.0378787878788
5,2017-11,132,25,0.233644859813
6,2017-10,107,-13,-0.108333333333
7,2017-09,120,-17,-0.124087591241
8,2017-08,137,25,0.223214285714
9,2017-07,112,-6,-0.0508474576271
10,2017-06,118,-7,-0.056
11,2017-05,125,6,0.0504201680672
12,2017-04,119,-31,-0.206666666667
13,2017-03,150,48,0.470588235294
14,2017-02,102,19,0.228915662651
15,2017-01,83,-13,-0.135416666667
16,2016-12,96,7,0.0786516853933
17,2016-11,89,8,0.0987654320988
18,2016-10,81,0,0.0
19,2016-09,81,-30,-0.27027027027
20,2016-08,111,38,0.520547945205
21,2016-07,73,-28,-0.277227722772
22,2016-06,101,12,0.134831460674
23,2016-05,89,14,0.186666666667
24,2016-04,75,-5,-0.0625
25,2016-03,80,31,0.632653061224
26,2016-02,49,-11,-0.183333333333
27,2016-01,60,-25,-0.294117647059
28,2015-12,85,27,0.465517241379
29,2015-11,58,2,0.0357142857143
30,2015-10,56,0,0.0
31,2015-09,56,-18,-0.243243243243
32,2015-08,74,28,0.608695652174
33,2015-07,46,-11,-0.19298245614
34,2015-06,57,-2,-0.0338983050847
35,2015-05,59,21,0.552631578947
36,2015-04,38,-11,-0.224489795918
37,2015-03,49,23,0.884615384615
38,2015-02,26,-1,-0.037037037037
39,2015-01,27,-9,-0.25
40,2014-12,36,2,0.0588235294118
41,2014-11,34,5,0.172413793103
42,2014-10,29,6,0.260869565217
43,2014-09,23,3,0.15
44,2014-08,20,2,0.111111111111
45,2014-07,18,2,0.125
46,2014-06,16,-13,-0.448275862069
47,2014-05,29,0,0.0
48,2014-04,29,4,0.16
49,2014-03,25,4,0.190476190476
50,2014-02,21,6,0.4
51,2014-01,15,1,0.0714285714286
52,2013-12,14,4,0.4
53,2013-11,10,-3,-0.230769230769
54,2013-10,13,8,1.6
55,2013-09,5,-5,-0.5
56,2013-08,10,-1,-0.0909090909091
57,2013-07,11,1,0.1
58,2013-06,10,3,0.428571428571
59,2013-05,7,-9,-0.5625
60,2013-04,16,5,0.454545454545
61,2013-03,11,2,0.222222222222
62,2013-02,9,8,8.0
63,2013-01,1,0,0.0
64,2012-12,1,0,0.0
65,2012-10,1,0,0.0
66,2012-09,1,-1,-0.5
67,2012-08,2,-5,-0.714285714286
68,2012-07,7,4,1.33333333333
69,2012-06,3,-1,-0.25
70,2012-05,4,-1,-0.2
71,2012-04,5,-4,-0.444444444444
72,2012-03,9,7,3.5
73,2012-02,2,-1,-0.333333333333
74,2012-01,3,-5,-0.625
75,2011-12,8,1,0.142857142857
76,2011-11,7,2,0.4
77,2011-10,5,-2,-0.285714285714
78,2011-09,7,-1,-0.125
79,2011-08,8,3,0.6
80,2011-07,5,-4,-0.444444444444
81,2011-06,9,5,1.25
82,2011-05,4,-4,-0.5
83,2011-04,8,-2,-0.2
84,2011-03,10,4,0.666666666667
85,2011-02,6,0,0.0
86,2011-01,6,3,1.0
87,2010-12,3,0,0.0
88,2010-11,3,-6,-0.666666666667
89,2010-10,9,5,1.25
90,2010-09,4,2,1.0
91,2010-08,2,-4,-0.666666666667
92,2010-07,6,2,0.5
93,2010-06,4,-5,-0.555555555556
94,2010-05,9,5,1.25
95,2010-04,4,-4,-0.5
96,2010-03,8,4,1.0
97,2010-02,4,2,1.0
98,2010-01,2,-2,-0.5
99,2009-12,4,1,0.333333333333
100,2009-11,3,-1,-0.25
101,2009-10,4,-1,-0.2
102,2009-09,5,1,0.25
103,2009-08,4,-1,-0.2
104,2009-07,5,4,4.0
105,2009-06,1,-1,-0.5
106,2009-05,2,-3,-0.6
107,2009-04,5,-35,-0.875
108,2009-03,40,0,0.0
