,date,nums,increment,ratio
0,2018-04,1,-298,-0.996655518395
1,2018-03,299,124,0.708571428571
2,2018-02,175,31,0.215277777778
3,2018-01,144,16,0.125
4,2017-12,128,-41,-0.242603550296
5,2017-11,169,2,0.0119760479042
6,2017-10,167,-47,-0.219626168224
7,2017-09,214,-59,-0.216117216117
8,2017-08,273,75,0.378787878788
9,2017-07,198,-47,-0.191836734694
10,2017-06,245,31,0.144859813084
11,2017-05,214,-43,-0.167315175097
12,2017-04,257,21,0.0889830508475
13,2017-03,236,53,0.289617486339
14,2017-02,183,-25,-0.120192307692
15,2017-01,208,-6,-0.0280373831776
16,2016-12,214,173,4.21951219512
17,2016-11,41,28,2.15384615385
18,2016-10,13,4,0.444444444444
19,2016-09,9,-8,-0.470588235294
20,2016-08,17,5,0.416666666667
21,2016-07,12,10,5.0
22,2016-06,2,-2,-0.5
23,2016-05,4,-20,-0.833333333333
24,2016-03,24,22,11.0
25,2016-02,2,-28,-0.933333333333
26,2016-01,30,-12,-0.285714285714
27,2015-12,42,24,1.33333333333
28,2015-11,18,2,0.125
29,2015-10,16,-18,-0.529411764706
30,2015-09,34,14,0.7
31,2015-08,20,-43,-0.68253968254
32,2015-07,63,57,9.5
33,2015-06,6,0,0.0
