,date,nums,increment,ratio
0,2018-04,26,-378,-0.935643564356
1,2018-03,404,173,0.748917748918
2,2018-02,231,58,0.335260115607
3,2018-01,173,41,0.310606060606
4,2017-12,132,-3,-0.0222222222222
5,2017-11,135,-3,-0.0217391304348
6,2017-10,138,18,0.15
7,2017-09,120,-39,-0.245283018868
8,2017-08,159,59,0.59
9,2017-07,100,-86,-0.462365591398
10,2017-06,186,-60,-0.243902439024
11,2017-05,246,21,0.0933333333333
12,2017-04,225,162,2.57142857143
13,2017-03,63,6,0.105263157895
14,2017-02,57,7,0.14
15,2017-01,50,32,1.77777777778
16,2016-12,18,16,8.0
17,2016-11,2,-5,-0.714285714286
18,2016-10,7,1,0.166666666667
19,2016-08,6,4,2.0
20,2016-07,2,0,0.0
21,2016-06,2,1,1.0
22,2016-05,1,-5,-0.833333333333
23,2016-02,6,0,0.0
24,2015-11,6,0,0.0
25,2015-10,6,3,1.0
26,2015-09,3,2,2.0
27,2015-08,1,-9,-0.9
28,2015-07,10,0,0.0
