,date,nums,increment,ratio
0,2018-04,4,-263,-0.985018726592
1,2018-03,267,116,0.76821192053
2,2018-02,151,61,0.677777777778
3,2018-01,90,24,0.363636363636
4,2017-12,66,-4,-0.0571428571429
5,2017-11,70,16,0.296296296296
6,2017-10,54,-1,-0.0181818181818
7,2017-09,55,-5,-0.0833333333333
8,2017-08,60,35,1.4
9,2017-07,25,-45,-0.642857142857
10,2017-06,70,4,0.0606060606061
11,2017-05,66,-11,-0.142857142857
12,2017-04,77,22,0.4
13,2017-03,55,7,0.145833333333
14,2017-02,48,0,0.0
15,2017-01,48,33,2.2
16,2016-12,15,13,6.5
17,2016-11,2,-5,-0.714285714286
18,2016-10,7,6,6.0
19,2016-08,1,-1,-0.5
20,2016-07,2,1,1.0
21,2016-06,1,0,0.0
22,2016-02,1,0,0.0
23,2015-10,1,0,0.0
24,2015-09,1,-8,-0.888888888889
25,2015-07,9,0,0.0
