,date,nums,increment,ratio
0,2018-04,168,-158,-0.484662576687
1,2018-03,326,42,0.147887323944
2,2018-02,284,-230,-0.447470817121
3,2018-01,514,217,0.73063973064
4,2017-12,297,44,0.173913043478
5,2017-11,253,-175,-0.408878504673
6,2017-10,428,202,0.893805309735
7,2017-09,226,-22,-0.0887096774194
8,2017-08,248,39,0.186602870813
9,2017-07,209,-59,-0.220149253731
10,2017-06,268,-295,-0.523978685613
11,2017-05,563,-2751,-0.830114665057
12,2017-04,3314,3262,62.7307692308
13,2017-03,52,4,0.0833333333333
14,2017-02,48,15,0.454545454545
15,2017-01,33,-16,-0.326530612245
16,2016-12,49,-30,-0.379746835443
17,2016-11,79,62,3.64705882353
18,2016-10,17,-4,-0.190476190476
19,2016-09,21,2,0.105263157895
20,2016-08,19,-11,-0.366666666667
21,2016-07,30,15,1.0
22,2016-06,15,1,0.0714285714286
23,2016-05,14,0,0.0
24,2016-04,14,-1,-0.0666666666667
25,2016-03,15,5,0.5
26,2016-02,10,-4,-0.285714285714
27,2016-01,14,-2,-0.125
28,2015-12,16,-42,-0.724137931034
29,2015-11,58,36,1.63636363636
30,2015-10,22,-35,-0.614035087719
31,2015-09,57,-100,-0.636942675159
32,2015-08,157,0,0.0
